"(Intercept)","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","sim","n"
1.50917577019878e-66,1.56128563936911e-55,5.64654855118476e-07,6.144196282894e+50,2.29039258037135e+149,2.66952037292314e+234,Inf,Inf,2.26592326906302e-66,7.9834390239336e-67,2.09422914790543e-66,1.77638261045753e-66,3.87512573870839e-66,1.23609260167821e-66,1.17696883552075e-66,1.62204575247229e-65,8.50289293235202e-67,1.00982945925856e-66,9.44582001264022e-67,8.11484904769745e-67,1.53210292784262e-66,1,12566
7.86412117503866e-69,4.01977418180335e-52,8.04452037671148e-11,8.47605146568118e+53,7.27583419469657e+115,6.70871183762372e+260,Inf,Inf,9.28307206568893e-69,8.07780613931878e-69,1.77752891467848e-68,7.49102149552089e-69,8.24306353858933e-69,8.52283318882642e-69,4.03352119448601e-68,7.79174716296087e-69,1.97892906610659e-68,5.24280458675259e-68,9.08007315392293e-69,1.03285764772867e-68,7.5747072428187e-69,2,12566
1.86213220483933e-70,5.83463534632115e-59,0.000273420603352569,4.72407400701593e+53,8.30899728342491e+140,1.14949617461054e+285,Inf,Inf,3.46477557283401e-69,2.00232743985386e-70,1.66115751577737e-70,1.84453844621728e-70,1.71791456572873e-70,1.92196685074215e-70,2.02828315852054e-70,1.67091555715464e-70,1.67225176713924e-70,1.66118452328913e-70,1.8066759107844e-70,1.28907008369856e-69,1.68780488382733e-70,3,12566
9.89244200562583e-69,3.49757418303303e-52,3.68209891220946e-18,1.72851868595374e+77,2.22054950017786e+156,3.43346987905121e+266,Inf,Inf,7.56625890178356e-69,7.87694142190669e-69,4.87716142033938e-68,8.65050477094385e-69,1.01535776969808e-68,9.28451806302089e-69,8.41180097538756e-69,1.23921148022429e-68,1.44165233194357e-68,1.26908279931973e-68,1.07893228686023e-68,1.65284559420062e-68,1.68561880382421e-68,4,12566
6.55873403661831e-69,5.1402803672179e-56,2.47236186056764e-19,1.21521851095805e+51,8.27030984140926e+159,1.31065276966069e+266,Inf,Inf,1.73274092505448e-68,7.93026975840664e-69,5.39491754411245e-69,5.60410889371592e-69,6.250346588657e-69,9.79208286836055e-69,8.23487889993396e-69,5.35444540719768e-69,6.70218776357275e-69,9.8966585233437e-68,5.86582414454919e-69,5.35952413356551e-69,5.35854228881115e-69,5,12566
1.09147413148498e-70,5.27251864478389e-60,1.17330731761587e-15,1.19067280637472e+57,2.26571222447685e+163,1.45011120444803e+259,Inf,Inf,1.93758197157444e-70,9.01158863597009e-71,9.33426547551364e-71,1.2152434656475e-70,1.39791342187079e-70,8.78411740771246e-71,9.66655312141074e-71,9.48705804631342e-71,1.029836555651e-70,8.60754047690481e-71,2.061747043267e-70,8.77226305774745e-71,8.60490160480029e-71,6,12566
4.15828119148833e-67,3.58772200903152e-52,1.95627455579362e-13,2.60845262757821e+85,2.67946636488548e+147,1.11167021232856e+271,Inf,Inf,3.95042373597295e-67,2.85809633207867e-67,2.4012405448293e-67,3.05228272131383e-67,4.3585278989618e-67,2.64604234742997e-67,5.18583316458119e-67,6.51164576702137e-67,3.44582015250718e-67,6.8214237156399e-67,3.24249568210591e-67,2.36728209577872e-67,7.48221595511011e-67,7,12566
2.67585193741057e-67,7.23297096711663e-49,1.34715933260141e-12,4.14703137963579e+50,2.6875872813954e+164,5.4638764642452e+273,Inf,Inf,3.11847788725985e-67,4.41238121685414e-67,2.65918289332328e-67,4.61886081129716e-67,1.66471723467216e-66,3.01597560074149e-66,2.65818563451408e-67,3.17795846439409e-67,9.02458183213769e-67,3.12753506136301e-67,6.56491209796279e-67,5.0765853740703e-67,3.71147165725401e-67,8,12566
1.48326270428443e-70,6.98738417193379e-57,1.12453156702925e-07,1.63924622252879e+59,1.39838133422626e+145,2.78896310379293e+291,Inf,Inf,2.59525286497651e-70,2.12387832052651e-70,7.18489626102992e-71,8.24397004114168e-71,6.98998636949601e-71,7.21419007124101e-71,1.7736334475561e-70,8.13917744047254e-71,6.98776511651152e-71,7.35857613169349e-71,8.12004120490131e-71,2.83542456016031e-70,7.01702254984537e-71,9,12566
4.08259356918396e-69,2.57330858756432e-56,1.0339447801792e-17,1.03294468076556e+67,6.39174782481207e+133,1.66970436517974e+257,Inf,Inf,6.78836665273148e-69,5.1642273365956e-69,4.4315953917051e-69,4.53576201459254e-69,3.90431544773216e-69,5.68177520741088e-69,7.69584500405916e-69,3.87667836950115e-69,3.84820865103541e-69,7.62822858342988e-69,1.51979115052787e-68,1.61281802652297e-68,4.89886526899848e-69,10,12566
9.04738688571435e-69,4.9145432897071e-56,7.76720172964401e-21,1.72417509278773e+51,3.14631965199252e+158,4.02612262644013e+279,Inf,Inf,1.25227998390066e-67,1.16046112906864e-68,8.94237439702233e-69,5.611000381518e-68,1.44897071528585e-68,1.21794147754997e-68,9.7970001075584e-69,9.09721044190044e-69,9.04229886078881e-69,5.21363990192698e-68,1.36252376485445e-68,9.17344628322351e-69,1.05811503497048e-68,11,12566
1.61361109469603e-67,3.09156029882727e-49,9.85478909964253e-13,9.12115133522061e+49,2.51193722698313e+151,Inf,Inf,Inf,3.02055183937615e-67,1.12163097213631e-67,4.80978605136734e-67,1.09974497981472e-67,2.23347736456408e-67,1.04564295643086e-67,2.65927255531333e-67,4.4686660464967e-67,1.88315246588913e-67,3.49174995835213e-67,1.68783922926307e-67,1.01793703344228e-67,1.95178882522438e-67,12,12566
2.12769608647719e-68,2.35584676406053e-51,8.18500957087063e-05,4.06006293682804e+39,1.77132104326973e+189,7.33020484498274e+254,Inf,Inf,1.70740977541295e-68,1.8641082542251e-68,2.9498571971954e-68,2.22704302677355e-68,6.3838887137137e-68,3.58921629344669e-68,2.47321833121307e-68,3.24304237624495e-68,1.61437213340525e-68,3.84275704730331e-68,5.82025931778738e-68,1.66733809171955e-68,2.52513078598284e-68,13,12566
2.73039286600624e-68,3.1737748301297e-54,2.06087303072966e-14,8.48710809806116e+68,1.3831162020818e+154,5.14817736852341e+282,Inf,Inf,3.00642350121577e-68,4.24160406206342e-68,5.99268436268524e-68,4.82755557808943e-68,3.10814860018347e-68,2.73853533753159e-68,8.95719767451846e-68,5.18418012233597e-68,3.23206667925126e-68,3.18420908884227e-68,4.75215166814387e-68,6.03671279710543e-68,2.71036225808982e-68,14,12566
8.72953695043718e-70,1.088171989326e-56,1.36536966153676e-11,1.12244345080562e+80,3.0682782053035e+165,1.73284424056989e+231,Inf,Inf,1.35642205586109e-70,1.54338282609244e-70,3.34776582207651e-70,1.77343357951137e-70,2.54678265023243e-70,1.09931823734018e-70,1.09967484672216e-70,1.10474246388397e-70,1.10424007239168e-70,1.75002275464313e-70,1.45935259225922e-70,3.78265639128531e-70,3.34891854663793e-70,15,12566
2.71630216611178e-68,8.76914382619485e-51,0.000317938817842364,4.73734429868505e+76,5.76906277624157e+161,1.62238707446272e+218,Inf,Inf,6.53806108165816e-69,7.70449713160769e-69,1.37901334046418e-68,1.90755825077662e-68,7.1706041976769e-69,1.29029553500697e-68,6.62421751394649e-69,6.950355234338e-69,6.72691452975281e-69,6.45430258460554e-69,6.94424067966548e-69,1.13326968829277e-68,9.09876928794433e-69,16,12566
2.72801676892368e-69,4.02624206167631e-56,4.69164443861077e-16,2.88069824784042e+67,2.86500000008913e+155,5.23438779524281e+296,Inf,Inf,3.19818694155344e-69,2.73392226519477e-69,3.32003066990295e-69,6.71109667045247e-69,2.59300576751716e-69,7.39404680192378e-69,1.22281057528146e-68,3.14209778223282e-69,2.47379346679988e-69,2.97672406593175e-69,2.74930454593065e-69,2.82901259940281e-69,2.68014628650553e-69,17,12566
1.20794277148945e-69,1.01365864701849e-56,6.45817480690878e-24,1.67241944158524e+65,1.56499356435805e+170,4.69242293715411e+291,Inf,Inf,2.79902446874447e-69,9.58139782586906e-70,1.12943152477312e-69,3.19401006732802e-69,2.3761770296341e-69,1.09639461791079e-69,1.03084066075387e-69,1.28723335011885e-69,9.70949931212375e-70,2.17272717996841e-69,9.58927003448026e-70,9.49355529852554e-70,1.86462844376767e-69,18,12566
2.04154064604271e-67,5.33531432577427e-50,1.0220202417091e-15,4.37282940418222e+57,2.33802959171082e+170,9.769343470557e+257,Inf,Inf,1.40714951696893e-67,4.64686314597186e-68,5.71101246781438e-68,7.71783718235412e-66,4.70804873485361e-68,4.9192606381331e-68,1.33032836702693e-67,4.63161301534432e-68,4.87853618572093e-68,5.09861470916601e-68,5.53930615780935e-68,7.05122166128905e-68,5.40231623302389e-68,19,12566
4.18000051368168e-68,1.07432828110575e-52,1.96939179675556e-10,6.8815999032849e+64,2.60075738525289e+164,3.02047923262154e+296,Inf,Inf,6.89256820184851e-68,3.23422773499595e-67,4.9445547453398e-68,4.5048079172155e-68,4.93018282630638e-68,5.42858558877443e-68,4.13605247712283e-68,4.93349742718541e-68,4.10420499409269e-68,5.81818368194519e-68,2.61283791943149e-67,1.81523967924671e-67,4.42620824308285e-68,20,12566
2.26304467982906e-68,3.09397454185172e-56,0.000443402957623647,2.78151424029115e+69,1.21003234776631e+148,1.03534557938414e+275,Inf,Inf,2.70459729559898e-67,2.01463041761548e-68,2.1433752294311e-68,4.21764459953985e-68,2.19360935203009e-68,2.64757694132876e-68,2.09931147696448e-68,7.56052841015404e-68,2.13963090572357e-68,4.43136867907219e-68,2.93725621952047e-67,2.17026575081128e-68,2.54430586544702e-68,21,12566
1.13114841166878e-68,8.37720117936854e-50,1.10209085398769e-13,6.77043778935248e+63,3.32919120170064e+160,4.98405814216839e+248,Inf,Inf,1.03854234364982e-68,3.35115945517202e-68,1.34684625586755e-68,1.1192239554772e-68,2.93151268823298e-68,1.39236155772353e-68,1.08577725968705e-68,1.36691008737687e-68,1.05987501690651e-68,1.11608599863932e-68,1.07167823844958e-68,3.32355117741992e-68,2.48070130759464e-68,22,12566
8.0349524360408e-68,7.67325712573424e-54,2.65784225425826e-07,1.81996303696422e+58,1.48845184952273e+136,9.82944654996836e+269,Inf,Inf,6.21173518306418e-68,8.842650044031e-68,4.38130296090219e-68,8.77890293106311e-68,7.97318810686875e-68,1.29609770709424e-67,5.51964755477289e-68,8.01081400418099e-68,6.49911863205893e-68,1.11179019061406e-66,4.50317569405016e-68,4.4975179707696e-68,1.30133720795368e-67,23,12566
1.66909376772077e-65,3.41214369155141e-54,1.59933570136313e-13,3.59516077850193e+76,3.78937425850375e+171,1.12937255228766e+275,Inf,Inf,4.02459217645669e-65,1.23967883953962e-65,3.19260266584899e-65,3.54746773093608e-65,5.22528574358574e-65,3.56382283679958e-65,2.41992093435359e-65,1.32064012567847e-65,2.75373134220037e-65,2.83172203014328e-64,1.35141336884459e-65,3.0657279416041e-65,2.62974298634642e-65,24,12566
