"(Intercept)","`1`","`10`","`11`","`12`","`13`","`14`","`15`","`16`","`17`","`18`","`19`","`2`","`20`","`3`","`4`","`5`","`6`","`7`","`8`","`9`","sim","n"
4.57730293887772e-58,5.24177130798196e-47,5.0252365107599e-58,6.92762972792219e-58,8.91980854279042e-58,6.33251513847888e-58,3.84819551140735e-58,3.79570533867473e-58,4.43117021353454e-58,4.54416247841896e-58,3.80639519252917e-58,4.37199015548873e-58,4.48927586669125e-55,4.64208497450572e-58,4.81396617704452e-44,0.00327461304697519,1.26509025138639e+44,7.33768748791961e+83,5.45121696047394e+162,3.97156181961302e-58,3.87667729195513e-58,1,1500
8.77465920042984e-62,1.20265430935937e-50,8.91956524551155e-62,1.25759416601075e-61,1.77482522711237e-61,8.87126016449253e-62,3.36378235131405e-61,9.22045752278891e-62,1.28816596806726e-61,1.62300939231408e-60,8.99303387395347e-62,8.58055948171548e-62,2.99283544463452e-58,8.83677616506961e-62,3.73361328437282e-43,2.81511221077629e-09,3.56422376312028e+46,2.29086242776282e+105,5.24547372910022e+158,1.15264320200981e-61,1.22302415372173e-61,2,1500
2.12765628137502e-57,5.5366619893847e-55,2.09683267264931e-57,2.33316820992766e-57,2.94766087660637e-57,2.08847503940034e-57,5.95295341984104e-57,2.8368966316236e-57,2.48413295278092e-57,4.81482702904783e-57,2.47158862960341e-57,2.60825031345833e-57,3.464818909245e-51,2.18010217685678e-57,1.46852394977925e-38,1.29942057354016e-13,1.10295497027102e+42,1.59955510196257e+93,3.31918751902006e+147,4.81175137759605e-57,2.20515152138482e-57,3,1500
5.49931553174371e-56,5.64225988175723e-52,5.60784326167672e-56,1.11035596175414e-55,5.98606127035649e-56,6.18840113067889e-56,6.4135332769861e-55,1.91601134954022e-55,5.84468151185406e-56,6.37599363391755e-56,1.83581745159385e-55,7.09861495380725e-56,9.34711351380389e-49,6.85354118227469e-56,8.09941371767182e-38,2.0550093571375e-06,1.44631880320764e+44,1.52985533669775e+88,3.03537725162809e+158,6.32613018021688e-56,6.0628266989399e-56,4,1500
2.06477502506631e-61,5.06710387039955e-56,1.55104098853031e-61,1.91268241256331e-61,1.22945640238894e-61,1.83327371999224e-60,1.5905610911256e-61,1.52585267678826e-61,1.13794561840317e-61,1.48458172038514e-61,2.11812927130872e-61,1.15448037653422e-61,1.71188135040766e-50,1.85093153610562e-61,6.53362856355076e-43,10516470.9303345,2.53346092962842e+44,1.05995326023543e+99,1.89621080652359e+154,1.14230727554722e-61,1.26204027071051e-61,5,1500
6.13719691654056e-62,3.10362934870778e-56,8.9528447983695e-62,1.21426417220186e-61,8.09842831237377e-62,6.91855113288466e-62,6.07069062726917e-62,6.03680278666629e-62,6.06924204065825e-62,6.11736987836105e-62,1.04744884639992e-61,6.20018652927324e-62,3.94269771251336e-57,6.49907535760538e-62,1.15753728125337e-41,1.26365514368225e-08,7.03300973302975e+42,5.5774768839041e+106,3.3997381508394e+145,6.2022731366334e-62,6.03077040145079e-62,6,1500
1.11222137836916e-59,1.15005863847022e-55,2.17378923359477e-59,6.24745635686422e-59,2.45334936904543e-59,1.04426808645709e-59,7.4458511672308e-59,1.27244317943447e-59,1.05294769326602e-59,1.95669821657756e-59,1.2682850927948e-59,1.79369939729012e-58,2.47581297574183e-46,1.32060479262637e-59,1.42151237736809e-43,3.80712225721097e-10,2.47931510444653e+44,7.61975037755028e+96,3.70468301602317e+145,1.12859221467181e-59,1.06028924460794e-59,7,1500
6.9028930291549e-61,1.49737434420468e-57,7.18248011273041e-61,4.36368352829261e-61,4.15340613969833e-61,4.14740102465869e-61,1.01191198889499e-60,5.38199430084658e-61,4.88602916536162e-61,5.30390909671958e-61,4.8278734630446e-61,1.77823050424458e-60,4.06172743966097e-58,4.26391993867834e-61,2.71407693073545e-44,0.0590607870095059,5.03166677763457e+48,7.62020952235835e+96,1.47492144175237e+154,6.09485436689132e-61,4.79615906587487e-61,8,1500
2.94435405623916e-57,2.07604125245512e-54,3.30597500230193e-57,3.17157012409358e-57,2.57268500166192e-56,2.59948977596507e-57,3.21531131105799e-57,2.94179716801913e-57,5.46277360752892e-57,4.94027581180593e-57,3.29625775607933e-56,4.6393835960162e-57,3.74710601713883e-52,3.11667196817694e-57,4.19482056121717e-47,16583364998.7438,2.29228136707e+33,1.17762393728325e+94,6.65707773461528e+161,3.53822417099659e-57,2.64502551856607e-57,9,1500
2.33323462415733e-59,7.87323628640534e-52,1.63233104213239e-59,1.98045398782593e-59,1.61873929035304e-59,5.02376171340642e-59,6.62321600071595e-59,1.65831967074805e-59,1.83006834928077e-59,2.59149087287753e-59,2.01112776505078e-59,1.6678785793954e-59,2.64703760542691e-55,4.75582145702661e-59,4.18581871443503e-38,0.0127762318433053,1.17387628399635e+34,6.74783876913704e+105,6.87625755275617e+133,1.33451122573019e-58,3.17990145874054e-59,10,1500
1.46317012694676e-58,6.055507719358e-54,1.62221671535705e-58,2.60023851825144e-58,1.50679713974319e-58,4.15404200903399e-58,1.73607819904316e-58,1.7624776836678e-58,1.44902773268749e-58,1.99407870834211e-58,2.831652764795e-58,7.04744711283562e-58,1.26881316929073e-52,1.44439613251619e-58,4.60170014723942e-38,13070.7586046341,1.4660574043552e+44,2.4207907600704e+82,2.07474776494396e+163,1.73523992267384e-58,2.69820382862474e-58,11,1500
