"A","B","C","D","E","F","G","H","I","J","sim","n"
-27.7471500214558,-23.8123245157091,-27.2101921464662,-27.7853966955596,-25.6618383916358,-19.4749165164995,-19.3162019271005,-9.84405941951826,12.7695625984213,25.6892686976847,1,750
-27.5599317494055,-27.5095950972758,-26.7303246899708,-25.2043198828352,-27.3328424454338,-22.4460225858594,-23.9521325088769,-1.60634532485648,12.4228150509085,33.8207549691327,2,750
-27.3845082427675,-27.6522357074753,-26.463124854526,-26.7888643348866,-26.7769273206536,-22.9421213573814,-24.506021393115,-5.60605114883805,6.64922854480199,44.4089350045445,3,750
-27.4934510435436,-27.6702816690433,-26.2347670704785,-24.0921095605328,-26.5219789526486,-19.5513521784803,-17.1631499231452,-6.65829396736041,18.0614768744654,37.3238302120446,4,750
-27.3536386951426,-23.5009337840505,-27.5847277851199,-27.7378705805344,-22.4376754807288,-22.2009380926825,-19.3988690191997,-11.7007999657468,17.1923614219407,21.4517609219087,5,750
-27.3199690918165,-26.9526507823448,-26.1835129291963,-25.6875997609422,-24.3833160096889,-25.5431727283857,-22.420654377636,-21.0709355755898,-0.701202873035811,49.0522259765693,6,750
-27.6312742865846,-27.5624620780231,-24.1742045230604,-27.2793704352069,-26.2874339321483,-19.5082073967961,-19.6783368939041,-13.7162410004798,12.8857227850415,31.8588501862454,7,750
-27.7898182668857,-25.6947526743338,-26.2566920484459,-27.0202822426432,-27.0165112513952,-25.6099571880345,-23.5095345313904,-15.4170338338355,21.5240434198064,33.2597751513753,8,750
-27.2234418869333,-26.003142505277,-24.1768731965277,-26.1192509590986,-21.0688931088697,-22.9517249848906,-17.6577955521044,-17.3614493631559,16.4571387760241,43.9688159413521,9,750
-27.7075929975379,-26.8913122282522,-26.9922624710672,-27.0535215199456,-25.2661835633916,-24.8460389238365,-23.2778421106912,-12.4063298706143,6.60030005158143,21.1911037981633,10,750
-27.6986874084807,-27.7764806741678,-23.1172549512573,-25.8347618845229,-24.9729647856691,-25.187059847356,-17.8828678301086,-20.314870446139,-1.47765354379771,27.7393182984569,11,750
-27.6271743424229,-27.604190990631,-27.6312605513995,-25.9093942441913,-26.1420546158659,-24.1130284712394,-21.27302779823,-14.5434385900581,8.32387094662749,31.3082602657416,12,750
-27.4917212713223,-26.5701733877042,-27.4887690800109,-25.6121223166168,-27.7626947175953,-22.9603450267782,-20.3731348061134,-7.11912288574422,1.31030439759729,33.4119050147094,13,750
-27.2739267971418,-27.697398893214,-27.7910407380572,-20.9069185040254,-25.4237017288947,-27.1474132096345,-17.0153550677069,-8.38751080945991,3.61745580318689,44.1393452841948,14,750
-27.0787539056697,-27.6456350600282,-27.8297776681671,-27.8880303577906,-27.6630225741146,-22.9155126196985,-18.1047672820885,-13.9134914720781,9.65509942497283,15.6923326013207,15,750
-27.1616824566353,-26.9345454592203,-26.7346094958868,-27.6711969507795,-27.5345900473614,-14.7803887386148,-18.0328003985165,-4.19000988077045,7.939488763989,42.2964854719394,16,750
-27.1776007851585,-27.6685500324716,-27.2750685576445,-26.2321023039436,-27.5303889516001,-25.6082280137092,-23.0935014636511,-18.9415434618204,1.63120414445365,26.2962083924137,17,750
-27.7581259003002,-26.895720533339,-24.7583346665911,-26.4438515571089,-26.249476586022,-25.0448748400964,-21.1041073922585,4.03734917917467,-6.92741888161629,13.1064588940583,18,750
-27.9587662023103,-26.669631983209,-27.1306303657153,-26.0075290740856,-26.5425189059393,-28.0119875490932,-21.4399374862464,-14.7886445686169,-5.6719285474868,16.6607266378774,19,750
