"llik","modname","evalue","logevalue","var","BF","yvar","hyp"
-28073.6401383421,"minTV Use",2.53442045642113e-26,-58.9372474237352,"TV Use",31.3021665781225,"think suicide","TV UseXthink suicide"
-28073.6401383421,"minElectronic Device Use",2.53442045642113e-26,-58.9372474237352,"Electronic Device Use",31.3021665781225,"think suicide","Electronic Device UseXthink suicide"
