"(Intercept)","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","sim","n"
0.030895472578573,0.0344694613375966,1469.20539825961,0.651461089335307,627758902696535,1.88961820788071e+33,7.2562764102679e+58,4.01057513226627e+76,0.0501876355462753,0.0350344549492791,0.0356610913931095,0.0340454863041592,0.0700870331014296,0.0533471926184927,0.0472026924720474,0.0511564349206879,0.0438532815207819,0.0319425010831625,0.0317586235298212,0.249527343036938,0.0428702801615083,1,1054
0.0534207043703953,0.111705898638153,0.827727832246822,0.0544252018943321,183310199385032,4.9795399566796e+29,5.37539620849749e+68,2.42896435635349e+92,0.0402071630402168,0.0437504183918268,0.038015368259126,0.0354676204922055,0.0611341587899283,0.0469624066831992,0.0728597482579259,0.0382982791717413,1.65986355272358,0.08002993161157,0.0432288898550795,0.355194808240034,0.0567949622948643,2,1054
0.0538527041505927,0.12444343373145,0.0898274519853591,715.212544157274,257101073404856448,1.64146721919727e+41,5.48644644917156e+61,1.45052759055016e+93,0.0587751686938176,0.031030629939595,0.0416216807074399,0.0336560508372993,0.0451173078034759,0.050394988943427,0.0328049677189981,0.0341417488947819,0.0323337770423306,0.0461370458015304,0.0372039586643257,0.0337669329367272,0.033055828621612,3,1054
0.0489668366732599,0.109549591322433,0.0541816747533568,3825.18592985034,5574844327115070,3.39254852078936e+38,1.03805706476567e+77,3.49378385605514e+90,0.0341897612308086,0.0309193038458472,0.0310160505919539,0.114700409222181,0.0356263125365975,0.0308032639718629,0.0316346394826532,0.0325559441066386,0.0319508615592388,0.0317737206212013,0.0343022817975617,0.0344634112558108,0.0445477076737974,4,1054
0.0341061297428407,0.0369582687875001,0.0384851968312194,536494.584517794,3.32622456202419e+28,2.35513255283244e+34,1.66618387056226e+62,1.47458953855658e+95,0.0308043912378634,0.075593066018487,0.0320479230459111,0.0375811664473034,0.0310883385316261,0.0311352288710571,0.0314078586192213,0.0312715491790068,0.0316281980349663,0.0356892069921823,0.0315450461429701,0.0781453601293004,0.0308677911534198,5,1054
0.06634387085379,0.134354733471557,1.87197182343206,1524.52365853596,5220085860486387,4.18844441707033e+34,2.31454314220986e+67,6.98365368354409e+96,0.0987259612811875,0.0357286683065734,0.0309348008732111,0.0308500007140048,0.0318239635996317,0.0614441669010075,0.03802442851685,0.0324849947294579,0.0460867521355914,0.0391498200485678,0.0414232914204669,0.0511234364657615,0.0311001144347443,6,1054
0.341088788202683,0.0459753232176002,13.2013343651832,29.2227193947274,85765486775621,7.01746228084166e+35,3.11540831096963e+64,2.85981720226629e+86,0.159055740693667,0.0396826575938852,0.0310041731368363,0.0372902027579485,0.0360017403125568,0.0433318060915252,0.10416227808145,0.031207180216944,0.059460568137469,0.0311062164969153,0.0354716415892443,0.0421788615059507,0.0448346121956488,7,1054
0.0506502204106828,0.0331438239579348,20.0430088964204,73.2135459618959,21966383898024304640,1.7958283253354e+44,3.1217623770214e+80,3.63846467479162e+102,0.097901296052939,0.0352747373092624,0.0365188479081095,0.0722374378791204,0.0698670483379585,0.0494462478566676,0.0322566120518292,0.0325019998629777,0.0310623424425226,0.0959691843035016,0.031071944891918,0.0661789152208579,2.21622551328963,8,1054
0.0403176218398829,0.0408256583485329,5.83163335383613,2915725057.95692,76768536694565896192,1.06183131384987e+32,3.50758386341753e+82,5.09523078025045e+103,0.0423624372658791,0.0312927529124905,0.046721470389683,0.177136774409799,0.0382318352151626,0.0375819725615472,0.509051545222223,0.030791605942823,0.0366055980665843,0.0338948192115266,0.0383461100330288,0.0958863123802781,0.0309181760684729,9,1054
0.0347915381177024,0.0319286014021225,1.01767320999664,6.18362482206614,3.6937023019959e+24,3.20233489510226e+39,8.86670032818129e+73,1.27253233802532e+96,0.0318960769785574,0.0341476239841618,0.10487780933046,0.0332503167809031,0.0386300215229589,0.0308497968832473,0.0991350831442126,0.099657501479045,0.152571260003384,0.0330771736647521,0.0405296969340565,0.0426857009130606,0.388297825718773,10,1054
