"(Intercept)","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","sim","n"
9.24748029735557e-37,1.7275742433886e-36,2.11403074398273e-31,1.20163196751326e-33,8.66835003204318e-14,0.34736445363433,3.34773733124563e+34,2.73176765091213e+64,4.19864885816068e-37,3.81584895992542e-37,4.11340497494892e-37,1.35107028651814e-36,3.78734868865873e-37,3.99550263443154e-37,7.27587268770064e-37,5.66372275522058e-37,4.09491354926795e-37,4.19395048305287e-37,4.02506480165683e-37,4.00878264073831e-37,7.7466380134701e-37,1,1054
3.79291718658872e-37,3.72320847544383e-36,6.42088981552862e-34,1.81749172390058e-30,1.8759126964339e-19,354469704005.347,1.0765547975937e+32,2.97350786842132e+51,5.76444409652503e-37,7.79396725950838e-37,7.05218899845841e-37,6.15365732800723e-37,4.03814041532005e-37,3.62300536488661e-37,4.04755955815683e-37,6.72573858702264e-35,9.20430382472772e-37,4.49657079509933e-37,3.71719497565153e-37,8.76627267762254e-37,1.09726931217983e-35,2,1054
8.93958163761783e-37,9.571302502736e-37,3.57450932614383e-36,5.11891008208886e-28,2.12793035055394e-22,70099.4359949343,9.4295906933403e+32,2.13810709839069e+50,1.4313969223522e-36,1.30481110920112e-36,4.71268453956786e-37,5.8059391997096e-37,4.5716614596525e-37,7.59494769562702e-37,5.39953416901431e-37,5.87337347140583e-37,6.44042191342258e-37,6.94983645836777e-37,7.48467104478959e-37,8.22733158476013e-37,4.6334727723276e-37,3,1054
2.32353166719799e-36,3.23066602808201e-35,6.34396786241074e-37,2.86564730239606e-36,6.93311480860128e-23,25274828356945.6,2.20554584215259e+27,1.39772638812638e+44,5.3920498385325e-37,5.32615821438099e-37,5.45044838342232e-37,5.2386275056262e-37,5.14239219452781e-37,3.40328001443403e-36,2.24953101902258e-36,5.42184113864287e-37,7.13964798972032e-37,5.37783767372921e-37,9.89522030853385e-37,5.29694334440308e-37,1.01522965299154e-36,4,1054
5.83834577893153e-37,7.79245368040638e-37,7.33013630090547e-37,3.71285174996412e-32,1.59794160918898e-24,3.97201084448933e-05,3.31225554394331e+26,5.04253754742333e+49,6.01177195873905e-36,6.08843010862379e-37,1.49290807758027e-36,9.75115483398257e-37,1.91260361631524e-36,5.84223956783508e-37,5.86788169104759e-37,7.6680010846691e-37,4.10271482786372e-36,7.65712414718076e-37,5.883310615067e-37,6.84453181312378e-37,2.0235695117231e-36,5,1054
1.02231565307588e-36,5.10785548445477e-36,9.92464733411255e-36,1.13280202372262e-28,5.82997582349794e-21,136.840545082327,1.54467172175921e+33,1.87517695500332e+58,4.22540326516458e-37,5.40205638620469e-37,1.21952512245613e-36,4.23304028554782e-37,4.52149419047816e-37,4.66381271939012e-37,5.05969637267327e-37,4.4897113578622e-37,5.20692787609954e-37,7.37213046366056e-37,5.17670389383739e-37,7.65216309294886e-37,4.31826835725745e-37,6,1054
5.25020830571179e-37,2.18899935519283e-35,5.75687915339249e-34,1.79543823797219e-31,5.21670796067425e-25,5.99966361594347e-07,6.52993235266328e+40,6.50051768337502e+42,1.36472138949329e-36,5.21167689887652e-37,4.37661374261667e-37,6.09085748604251e-37,4.25664455030252e-37,4.97348486053489e-37,5.05726562808405e-37,4.37747069366559e-37,4.32023225535281e-37,7.25872291172303e-37,5.87125537059428e-37,5.5135025673024e-37,4.42455509029488e-37,7,1054
1.34157039545979e-36,7.22971211500594e-37,5.04483429381477e-34,9.36042141328795e-35,5.27402425713302e-17,0.0147604836822594,5.48374723756056e+26,3.75424920261972e+64,6.80680139670051e-37,5.55192635283004e-37,9.57952708958568e-36,5.34705793386712e-37,4.49232110649255e-37,5.60302002593587e-37,4.49845713556462e-37,4.85652830870611e-37,4.63145123596071e-37,8.38641428576452e-37,6.91464093663368e-37,4.60776211137666e-37,4.52473337237934e-37,8,1054
2.98748774549914e-36,3.97551387199081e-36,8.47553018422207e-37,2.82790271954942e-32,1.5187971061954e-21,2.22152983992331e-05,3.8931576750043e+26,3.05416114398496e+51,5.82549727123727e-37,4.25820421616127e-36,8.52461966444612e-37,5.82164610088907e-37,6.43269566571461e-37,6.29314839670447e-37,1.16667640105107e-36,1.12212531765457e-35,5.86722885981056e-37,5.61145736350033e-36,6.60485513266128e-37,5.96867584284107e-37,1.07337632142792e-36,9,1054
4.56666518475641e-37,2.33980481655998e-36,2.66701461723009e-36,7.52270804162726e-33,9.00350294814123e-16,28306799.2991072,2.50787822173842e+21,2.13917080429552e+62,3.20744900920007e-37,1.4611172919134e-36,4.07600718501e-37,2.01208213543065e-36,3.68272050246105e-37,3.10989392415005e-37,3.16658296793701e-37,5.21218051783525e-37,4.68081260270662e-37,4.60277824622368e-37,3.14929981611498e-37,3.48161783425477e-37,6.16788619462461e-37,10,1054
5.69261713558534e-37,5.80066884914365e-37,8.34168328520883e-36,1.00232121987026e-32,6.78666447913915e-19,34.2417250179699,20864749850757939200,9.83017939918452e+56,5.84096844711517e-37,6.96954467509132e-37,6.70874627055428e-37,1.34797940914432e-36,6.12153490415119e-37,5.78794619730178e-37,8.58755826465757e-37,1.44851409647239e-36,2.86538705669749e-36,1.25487496395172e-36,5.3206684296971e-36,6.30448535883858e-37,8.13080777318473e-37,11,1054
1.66860157353554e-36,3.64493531836496e-37,1.46363601826552e-36,5.38741562570863e-29,9.57785877648116e-15,2.24386570096432e-06,3.0503805219776e+28,1.69414557261343e+61,6.11774651704225e-37,3.65628594149938e-37,4.23798075707512e-37,5.65284278639662e-37,4.77396658149402e-37,1.29411934706392e-36,4.1835614287901e-37,9.35730554414552e-36,4.07795967834769e-37,5.64273241152876e-37,4.61683820654634e-37,3.68150201491871e-37,7.7035658172432e-37,12,1054
1.43410999591385e-36,3.17065173988292e-36,7.70278977588516e-37,1.50002074790221e-34,2.25438517771324e-20,2362017.11903034,9.93542017890082e+39,6.10619688451174e+72,4.73334310704639e-37,4.56902461327196e-37,7.80645646522374e-37,4.52913776847117e-37,6.81458656235217e-37,4.42054150341963e-37,1.04505960023744e-36,5.29218090120506e-37,8.71971460567615e-37,2.09473416120695e-36,4.47365288631443e-37,4.4090771283588e-37,4.66830187518147e-37,13,1054
6.28321454869905e-37,4.17600057393583e-37,1.02642857007963e-34,2.30961743655736e-30,6.01221016889562e-06,77232140814043360,1.3745602925467e+34,5.76552522369393e+72,4.59870862072095e-37,1.34137202638389e-36,5.35689337027757e-37,6.54998780743809e-37,5.16879775069364e-37,6.39479538067583e-37,8.39798371543479e-37,7.21397432975372e-37,4.18586375090666e-37,1.18803472635698e-36,9.8825358605099e-37,4.37372083285216e-37,4.97392170302663e-37,14,1054
4.10894212262646e-37,1.619430729686e-36,5.26256457706296e-37,8.39601651268811e-32,3.32896749416742e-12,144033.172258649,7.0816076159667e+27,3.61976418384837e+61,6.27823557630507e-37,4.18772012829472e-37,4.11804296565834e-37,4.63276805500225e-37,4.16875218034138e-37,4.26783656478727e-37,5.96970618667581e-37,2.11471391302414e-36,4.34268373135992e-37,4.85856563634935e-37,8.64966562690149e-36,4.11572461779726e-37,7.04780728904394e-37,15,1054
