"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","sim","n"
-65.9833769878502,-67.3991376913536,-60.8213545416435,-51.7522607083515,-51.7713138348454,-39.6017281759011,-6.79746923025289,-66.6648191364247,-68.0465228848788,-68.5916955081824,-68.4629159854308,-68.7312390385912,-66.9215428023659,-68.6766892098817,-68.7313084241437,-68.706426949237,-68.7261844360695,-68.731246002878,-68.4250126915782,-68.4962345379008,1,278
-68.7092048597926,-68.771343044571,-67.2124373830305,-56.0001571041746,-53.1692162363626,-35.6427928394347,-5.69020605824289,-69.1048795215005,-66.9109259485406,-68.4173628576046,-69.0477377939899,-68.4853355506614,-67.8728285499407,-69.1563213696821,-69.2835792494456,-67.9344892273757,-69.3669315531392,-67.2896786077048,-68.7421079205062,-69.3660766710737,2,278
-68.122625729671,-67.6079373180616,-67.652241083091,-50.5304143004457,-58.8851911998943,-38.8353220488264,-33.0381011268456,-68.0189904070903,-68.0768980874606,-68.8918884044734,-68.4373442413982,-67.9720411360202,-68.9325737786038,-68.5992125370803,-68.8027247067757,-68.8258335606927,-68.9241699616694,-66.9845441347563,-68.8973403010331,-68.4454220049079,3,278
-68.7978793741634,-68.9322148293153,-68.7305515550961,-54.5546499781734,-55.9955147966269,-28.8925773884769,-29.1637879589967,-68.9969173064331,-68.8989774969735,-68.8517843163188,-68.781104368355,-66.9553304089939,-68.6355570484468,-68.9038578774921,-68.9758695426803,-68.8574220952934,-68.3454495373352,-68.773377728624,-67.5181464058381,-66.8222887755684,4,278
-67.8235293358463,-69.2468182884426,-65.8481527623723,-55.4494662300964,-54.7863792703475,-42.0105325836095,4.37665707866387,-69.1064415845137,-69.1216582150684,-66.9120456427855,-66.9373890666845,-68.9147138960955,-69.2208811970106,-68.4806000795983,-69.2606693681287,-69.2907236004509,-68.0742983837526,-69.2760818911621,-69.2814589525427,-69.240044875946,5,278
-68.8204864706117,-67.9688010972259,-65.4863638335329,-62.9640356997383,-60.800074922567,-37.546430527077,-31.9002757822343,-68.8006649145095,-68.5342339912469,-67.1017390293696,-67.2864055271229,-68.5577983750102,-68.8173936093648,-68.8174608556148,-68.3074800513954,-68.79835491134,-67.8828792332181,-68.0994212193405,-68.8217291717432,-68.7232663992805,6,278
-68.7383701748883,-68.0937549993617,-65.5322506771542,-53.5092752154197,-54.9467607158672,-39.0400058857854,-20.5032938487284,-68.767954361893,-67.1276772512048,-67.8826523864858,-68.5247906330516,-68.1836534889257,-68.7887287318626,-67.8882210690667,-68.699583651206,-66.9702545575819,-68.2645015186012,-68.3455765114513,-68.7404864571214,-68.1135709104504,7,278
-68.3400849700286,-68.214505452642,-67.0489908975909,-55.5843710170774,-57.4857052673933,-36.3855615524474,-7.2482955954917,-68.5516182047953,-67.881295150013,-67.9708763241551,-68.3847577163364,-68.4480278642703,-68.6581199842687,-67.9933516559381,-68.7280331160317,-67.1861311527458,-68.3452876486947,-68.444528795107,-67.9416993560919,-68.6098616117546,8,278
-67.9769930226933,-61.5436671920672,-67.673174694596,-61.0029920958793,-55.993730833428,-30.6601068620826,-15.1054584142553,-69.73706133141,-69.7060812562285,-69.1259670510645,-69.7423816917733,-69.641163488976,-69.3608486946969,-68.2981357997264,-69.7584835893089,-69.6285584025298,-68.925097418265,-69.7628510964432,-69.0078722631006,-69.5896957962866,9,278
-68.6259398925474,-68.6009547299263,-66.0736192741206,-62.7385463379268,-39.8251586735514,-33.5290432816074,-20.4243139898246,-68.6600594153132,-67.7291469756325,-68.4855617478546,-68.1177113299431,-68.4498145454177,-68.7128681432398,-68.3661234759307,-67.1206610971817,-68.6950546941511,-68.1569553378668,-68.7143621576759,-68.5502949305188,-68.5395361173071,10,278
-68.3426587923971,-67.8239216171878,-66.6359437633824,-57.9950437538704,-54.5672989608941,-36.6274232494516,-0.186069901263579,-68.6822852201689,-68.6908551093696,-68.7108188513614,-68.6152309043354,-68.5391637465489,-68.2344570673038,-66.4986266840788,-68.5037417017238,-68.1658153964473,-68.2399675368863,-68.4151101180914,-68.3292858318551,-67.387441175139,11,278
-69.1043901790715,-67.34095976393,-63.1296959105562,-52.6998312003603,-59.220928946709,-26.588283707721,-5.54498401221946,-68.5730369378732,-69.1067357838475,-67.4404800086347,-68.998331933919,-69.1602518085199,-69.1312583954069,-69.0574169943845,-68.9338111940969,-68.8867013002259,-69.1660094613679,-67.7127151302583,-69.100344363168,-69.0518768797873,12,278
-68.7027425956937,-65.5879346274566,-67.5963345176154,-52.8219743729772,-37.5291616442067,-43.5986678209611,-6.77848450931208,-68.2883763116675,-67.8800350327992,-68.6963989860461,-68.204240475006,-67.8799434275431,-67.7587888887562,-68.6192482108073,-68.6661268820168,-68.5261589057965,-68.60621120659,-67.2046291919842,-68.6105932127973,-68.2761906577661,13,278
-69.1804954127404,-67.9509288920817,-68.366900250477,-54.8286211416806,-46.0427014000001,-29.6377352846361,-8.19379899086357,-68.4361209673196,-69.1934442464155,-68.8309027207258,-67.3862401008872,-69.0974469469505,-67.9952355542595,-69.0869477438142,-68.944756182499,-68.7438399735728,-69.0313043724399,-68.8579304573937,-68.2220784453431,-69.1667542494815,14,278
-68.5759870023423,-67.3288845397654,-64.6901932084386,-53.9715459210701,-45.6472335952764,-41.5180853047352,-20.4533794758907,-67.5256356340814,-68.047835252523,-68.645476213378,-68.4050914754389,-67.1271046662744,-68.4063587634067,-68.0452564163523,-67.7497150017309,-68.6276574847971,-68.4207717441756,-68.090150187804,-68.1686818207103,-68.5115129418976,15,278
-69.2149834501502,-67.5212951354712,-68.236667251505,-46.2380578556751,-60.0742673416272,-27.9432338771909,-6.9736148801116,-68.8694097695296,-69.3190306533959,-69.2086240739569,-69.3137074758965,-67.4034143103954,-68.4435169681637,-68.8478142215836,-69.3318328900131,-69.3152322554127,-69.2710155749532,-69.3125931485433,-67.6973442877456,-67.4809232368268,16,278
-68.7734897127173,-68.7764921057684,-66.4227550958647,-59.1838251073682,-47.4712232765851,-39.2684481115299,-14.5776238365598,-68.4191392152003,-68.7675988960744,-67.2729917350028,-68.7983243194406,-68.786076824102,-67.6707849951547,-68.7982473637821,-68.3406890583535,-68.768748279185,-68.7840863979583,-68.2109485833055,-67.6501675888496,-68.7412836807628,17,278
