"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","sim","n"
-90.1195304918992,-85.8339806481022,-71.9363772540296,-10.1172399400371,51.6791381856424,251.529125260942,365.69972291716,-90.8698854520385,-91.2783062888911,-91.2756651807649,-91.209344811783,-91.2635235865564,-91.1816029969896,-91.269364045264,-91.2549971817593,-91.2548106093868,-90.9202308593358,-91.268478399732,-91.1149964917336,-89.207865449579,1,2154
-88.5382992305481,-86.2192632109654,-68.1023966342518,-8.48845924016041,99.1467883647147,259.209394613384,444.477804909539,-91.3665986932137,-87.4846335625884,-91.541980287348,-90.2412385505031,-90.662710877546,-90.6045822019141,-90.874776303719,-91.318341097422,-91.545466343623,-90.208935782106,-91.4073418455391,-91.201093500682,-91.5083373252519,2,2154
-88.1987113381629,-87.1617374402363,-76.9807395831767,13.6391050243501,73.6514848961724,157.964944609499,408.025942262626,-90.7860431952754,-91.0621482469646,-91.3214824293268,-90.8406012093333,-91.1302824640038,-91.4031222010376,-89.1337015389686,-91.4153357267951,-89.7075440229314,-91.4089009076688,-90.7639537826926,-90.6083991795454,-91.416132206024,3,2154
-87.7381448865513,-82.2069353930729,-62.930896089189,-8.97196176951047,23.8633802929394,193.680971393111,388.709442267426,-91.1104195282501,-91.2640329760384,-90.986447039586,-90.9358706302769,-91.2356067226328,-91.3056163549995,-90.7752817807218,-90.9208717047927,-91.3073620707582,-90.774590535581,-90.5543018286035,-89.7570942101652,-91.2298525395126,4,2154
-90.3840203419445,-83.946393849983,-63.0271723120527,-11.4425852037734,31.2960633454022,197.946462670954,325.482616679265,-90.7948824786436,-91.0367330485346,-91.1118682266183,-89.9698152903529,-91.0826048149324,-90.6664425353706,-91.1031628617966,-90.9991599717387,-88.485943823182,-90.7945881492278,-90.6768172541979,-91.1144918766322,-89.8691303221094,5,2154
-91.006977413213,-86.7178197467661,-63.6244814678848,-7.03695924479962,46.5257889440554,162.879115308837,408.004885144886,-90.4503274130921,-91.3832599689881,-91.3558400908528,-90.9140620041549,-91.1823178855821,-90.6550694881998,-90.845361144603,-91.3619783721883,-91.0058532310481,-91.1487064358444,-91.1862319248389,-90.7565159644341,-91.0489215798302,6,2154
-89.000278083563,-79.1842603668415,-70.3563044939719,-11.2534553439546,46.8038425091795,172.779471785604,371.904398866699,-91.2463126139501,-90.6548582727792,-90.1305241655868,-91.2478245218667,-91.2622654802553,-91.1230906109026,-90.9347991917766,-91.0597179662209,-91.153053281691,-91.1877129385148,-91.1947514538492,-91.2618929458049,-91.2306566844559,7,2154
-90.5050332070205,-85.7635933960023,-71.7477147660479,-4.22442293040649,28.4373310708929,245.257168474444,330.186285998853,-90.5119130429784,-91.0170196609124,-91.403113990671,-90.3578558511508,-91.4087255164459,-89.9731656573636,-91.4547368568683,-91.4404385191278,-91.4523088039341,-91.3019039108722,-91.4302483949682,-90.3891455013704,-91.4622791411675,8,2154
-90.1783913711515,-88.8244912824607,-73.8943697916593,-9.40824083269717,78.0985191334776,192.620519494711,381.938063759716,-90.9762390665273,-91.0291831183272,-91.0939677908145,-90.6130643099546,-90.8366325718362,-91.1843021477985,-91.2209209655316,-91.2298712913152,-91.0227325024312,-90.7306219598277,-91.0666610403637,-91.2222535264468,-91.1997903978822,9,2154
-88.1583373004455,-89.0771821524027,-76.1248615289715,-8.63301005060157,73.6746125716641,177.867602382742,368.047282069592,-90.9670332855585,-91.1114469350264,-91.2560411514005,-91.1722968392469,-91.0628103280051,-91.2619696989768,-91.2747543724004,-89.9668991583421,-91.2561491732667,-90.7105276258976,-89.3657263300875,-91.2619793703011,-91.1741137243666,10,2154
