"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","sim","n"
-73.4044598799093,-74.2555848714094,-71.6393098512557,-52.1678035274517,-49.9436514436242,-19.9843988095415,26.5591616573583,-73.9188167461105,-74.2643761010396,-74.3392667558036,-74.2494940746361,-73.966328933921,-74.0573101335737,-72.6898159321767,-74.2555624486408,-73.5647772687163,-74.3311954221325,-74.3025795852965,-73.7870136509603,-72.9256385390514,1,464
-74.4776524884372,-71.8598632075888,-70.8850967473051,-53.3835502752363,-42.6616060157978,-13.0542212295397,38.8817916223738,-74.1393412235262,-74.476930403849,-74.3803090451979,-74.467815671352,-74.2150206398908,-74.1940183015296,-74.0862707408156,-73.4590999721435,-74.4173349803552,-73.7235613715652,-74.3417977439318,-74.4318442686783,-73.5330070404419,2,464
-72.8248919081854,-71.8711976622841,-72.4114295495541,-56.5799855120592,-51.2004250716475,-4.68627007528664,19.7351528384677,-73.0425926035714,-74.1762977529063,-74.1688257597763,-74.167999589061,-73.7070624353602,-73.1420773838882,-74.0679748538216,-74.1835236946872,-74.1676498129298,-74.1188998650139,-73.2391093707629,-74.1299751667079,-74.1884172031611,3,464
-73.5149828157155,-69.6681514914719,-68.1048429775732,-48.5431456951467,-48.9129835947093,-35.7771963439856,11.4989763048945,-73.932638794702,-72.9083225798888,-73.9913213527136,-74.4409075578799,-74.4785103675791,-73.2802968390731,-74.1617423969109,-74.4608317893079,-73.2068014653579,-74.3174121792168,-73.6665877396455,-74.315726293977,-74.0060998301636,4,464
-74.6156994380218,-74.5939624127494,-72.1877895952447,-62.4857354237818,-40.1537552368775,5.20327393432456,37.8120405449624,-74.9810811404136,-72.8748965006567,-74.1137996057929,-72.6735807784336,-74.9535391537747,-74.6652073353697,-74.6891740032298,-74.998290552344,-74.8138100064871,-74.7870895755002,-72.2295214325386,-74.9702009749539,-73.1459258221555,5,464
-73.8856270475375,-72.0874411622591,-67.5482069097327,-47.7813499217283,-47.0137917136291,-10.0192735879573,13.377829104212,-74.0935684724461,-72.716171777311,-72.8210233174821,-74.3012795169664,-73.8857152879,-73.5455675738011,-74.2532376407738,-72.8073709032672,-74.1900957631651,-73.8173888358754,-73.8018097167503,-74.315120595643,-74.213377377126,6,464
-72.4570840032051,-74.0944691502385,-72.9866227716645,-53.2849942013087,-44.3916956894126,-22.6757676825481,12.9958992884166,-74.1966175436349,-74.1845880109086,-73.4222822654473,-74.2531107541867,-74.2344671695291,-74.1667535835427,-71.9511655491092,-74.2347252440634,-73.9374383494569,-74.1243138602044,-74.174574286959,-73.7495787450412,-73.7017503195112,7,464
-73.3054634576589,-74.4211089271143,-65.8887005756453,-54.8394181688294,-53.7816305841884,-13.9257584138023,26.2881322534864,-74.2672703319313,-73.1033141526933,-74.3302585565772,-74.0513314707671,-73.5256217338074,-74.2026385549442,-74.0084382667203,-73.4669133196675,-74.4490533605079,-69.6306853076607,-74.442013230791,-73.8234429173372,-73.4858944153497,8,464
-74.2105863915741,-71.1783884458099,-66.6922329003343,-60.8279907032019,-42.7218623639355,-6.95173508773394,28.9185281911534,-73.7351566005362,-73.6430964690103,-74.0138805445213,-73.5414131154888,-74.1248042575866,-73.818066401996,-73.4253560344797,-74.190355734872,-74.172957911804,-74.098551858729,-74.2057568554677,-74.1961224391131,-74.1067944345563,9,464
-73.8411157705615,-73.5278073824188,-62.4236754371602,-58.6601931026348,-44.5215633289311,-7.40733851754408,16.3751496799963,-74.349734875968,-74.0572472244727,-74.3410957987763,-73.7842010128263,-74.280140961779,-74.3300750147956,-74.1622275177405,-73.9794116015987,-74.1533447180395,-74.3550670672691,-74.3416230426415,-73.289132162189,-74.3519913058138,10,464
-74.8702753348232,-71.7794871347626,-68.797012977122,-45.5113510237381,-49.6568076273537,-10.3006903228483,60.6972737525874,-74.8732442125004,-74.6831353380801,-74.2745050639463,-74.7935896121782,-74.0590607170726,-74.5520516391313,-74.8706485968808,-74.7634437597213,-74.4654385448766,-74.5847992389064,-73.8949947833397,-74.0280959036735,-74.1493645730495,11,464
-74.2261079378862,-70.1321313606195,-72.2171087645672,-51.4279951656619,-37.5998829114642,-5.18726579853967,36.7796447464094,-74.4148813955596,-74.9686141093964,-74.9662082687239,-74.2551792581137,-74.9699236143028,-74.8999296001869,-74.2650816172372,-74.9797374679289,-74.5410229522893,-72.9986978546557,-74.0521460055591,-72.6968448498611,-70.8004799166217,12,464
-72.8826752893266,-72.9505639361435,-66.765113858072,-61.7199903746642,-56.2442591384884,-19.5546140849715,15.155092377293,-74.3501712839902,-74.3119167687609,-74.5876758716987,-73.1008764392212,-73.1494716742806,-74.3279012969048,-74.533801636092,-74.5995002094758,-74.2276875425399,-74.5605769365043,-74.2227316298238,-74.5012861886089,-73.9879900173953,13,464
-74.2548310549947,-71.8834249345355,-70.5645468973121,-54.0977866407668,-46.3853292044282,-25.9122609884259,26.4107417913333,-73.545943772973,-74.0757340458459,-74.1932683779349,-72.9261465150701,-74.2301711266396,-73.9665851604761,-73.2177484779966,-74.1702476174567,-74.1821951815854,-74.1790545642455,-74.1006032474237,-74.2991719439726,-74.1864438245478,14,464
-74.2012843957341,-74.6154085173654,-63.4180694174028,-50.6956069251136,-49.0319192668637,-15.4011546999456,24.9111960776615,-74.2649303331712,-74.4267676988206,-74.4507979394109,-74.6122396735946,-74.4028670706547,-74.6148771846588,-74.5449925475784,-74.6123425854782,-72.7417177513969,-74.5628733588461,-73.672788971168,-74.0187961727027,-74.5970117276347,15,464
-72.6118389861745,-74.0842929758189,-71.6614899894031,-48.9083863586936,-46.669156265215,-16.880035259619,23.8794794270214,-73.8132778367969,-72.1447764222281,-74.1962818422328,-74.6942067023609,-74.3689592178348,-74.0180134044317,-74.0664314385258,-74.6945765103508,-74.1122485648704,-73.0749570697556,-73.9296750248602,-74.5452328421087,-74.691450032287,16,464
-73.9351234462506,-74.3789123245577,-72.9879603811469,-61.0782430268313,-43.1935356139136,-16.3343436569995,13.7448368156466,-74.007689383709,-74.0339487876547,-74.3752440286802,-73.0939682444206,-74.2965439447584,-74.3197547921636,-73.0340766533075,-73.9507651132918,-74.2540524043834,-74.4254863801522,-74.089276865223,-74.388805615865,-74.3812441197762,17,464
-73.2112692955189,-72.1367422874936,-70.1329297974982,-43.7934808883538,-38.5067195337717,-4.28506030732819,23.3028508719621,-74.4113102121787,-73.7211142961106,-73.2710483239422,-73.4526721133216,-74.0353610386522,-74.6730059066236,-73.3949530268022,-73.4769820961708,-73.8425695629433,-74.0952157885949,-74.3188029169269,-74.2348928280522,-74.3366966404237,18,464
-69.5178744788619,-72.8813669598859,-67.2244938619139,-53.9774958665844,-53.2984071241871,-23.1622111754303,18.5009736352348,-73.8319055166739,-73.4508369747992,-74.3194071490497,-74.2574535518864,-73.8039066608554,-71.0887441855749,-74.2510774074026,-74.352383264546,-74.0046205459124,-74.3032708545346,-74.3587320837343,-74.3047112437283,-72.1768364995307,19,464
