"A","B","C","D","E","F","G","H","I","J","sim","n"
-46.8947867929442,-45.6307089758377,-47.057000093293,-42.9661154177543,-35.2890018377286,-23.1508118099248,-33.5280774749535,7.73277797557944,59.1913537781938,134.398757244037,1,750
-46.5873576575996,-46.6322670551547,-45.6888578766377,-42.1565523702889,-37.4165333259766,-27.6574488522797,-32.7500181570665,3.5912302866675,28.324399158199,96.4860200785829,2,750
-46.768735865282,-46.4828146708528,-44.6847120547989,-41.7894163641838,-35.5918744640232,-34.8592812028908,-38.2654979750068,11.5636713111721,60.2076504635047,99.1345397948257,3,750
-46.9984041799421,-46.1190611017246,-46.1613725210952,-41.5240146006872,-40.067680861715,-38.9121017196303,-35.4080355747619,12.4979969132703,54.2880846119383,130.868426392556,4,750
-46.676464933352,-46.7697283842901,-46.4831054207589,-40.3076134017315,-43.9116953206014,-37.0153691463388,-34.9311785441271,17.0046337149945,62.2230277973922,136.290965663403,5,750
-46.9966409889773,-46.3435646880209,-44.7790480590613,-42.40947471186,-37.5507404124028,-40.6666064144918,-35.1110550596434,-2.35257110867542,72.1669764469966,113.236855469994,6,750
-46.753246940528,-42.3224964013377,-45.7795373163378,-42.0856366668809,-40.8633770731431,-38.9579743020763,-27.4236478395653,8.11677924614878,47.611570214935,128.125933174394,7,750
-45.5552532140464,-47.1011747246146,-41.567579279578,-42.1797837957336,-41.6090905060696,-36.1862294988869,-26.3870791211111,-1.26608379172558,51.5423171216976,88.5964640286725,8,750
-46.2091092010915,-46.0295641921798,-46.8399326930246,-36.3573951434755,-35.4288031737028,-38.5106544485,-26.3310820826348,-4.22462426541279,42.4504883346763,161.698800633229,9,750
-46.8751364194745,-45.8420009147139,-45.887515902305,-39.7875865126632,-41.9687816298292,-29.2563884347321,-29.3168641171019,10.5128929829555,54.7850547315836,84.1748366413078,10,750
-45.5878231076342,-46.4376632343749,-46.2659744558853,-42.3893944751489,-40.1763084747333,-31.6075368590032,-34.9097498871918,14.802874328464,79.2538333682091,105.723634217535,11,750
-46.8817019155349,-47.1687287839413,-41.4403548963123,-44.8857385043784,-41.1200137246647,-22.5228565363202,-37.6190124837569,9.03982829142615,63.1593424856203,143.96009986578,12,750
-46.1071003355321,-45.46345127157,-41.0081948833513,-43.0880036328706,-43.0198338516802,-38.9523293950656,-24.4295834727884,6.56267605453354,49.2357062078618,131.738126989713,13,750
-46.7890144378005,-43.5355020322315,-41.1896126365591,-43.3668790307449,-35.2342947143661,-44.3978862521074,-31.6226681005098,-9.92116221506126,58.7573027143255,128.49586225722,14,750
-46.1762912707841,-46.4565210335286,-46.7020198864334,-45.9097502270845,-40.3261097405218,-32.4190607532018,-25.8144663999954,-2.09136190326012,57.9706611527888,136.823266347245,15,750
-46.9416530466808,-46.4219587188979,-45.3214995971728,-30.6849393978332,-36.1750483636422,-35.9276824100093,-30.0059566261714,18.0947412099044,51.7306660023678,89.561685356324,16,750
-46.4491112046803,-43.0287233274519,-43.9391851657645,-43.861090688589,-40.0302125688681,-34.8742572244412,-41.1308520519081,6.98139507286464,44.6701255845906,110.759635473138,17,750
-46.9288549590201,-45.8807106469387,-44.8584784028014,-35.2582417124747,-34.3828462792726,-33.5203179653934,-35.0932185270722,-22.0569219362183,44.8130923894157,115.057135131218,18,750
-47.3112006684712,-46.8994915794697,-47.1920752110834,-41.6114616700931,-36.9961179847305,-30.1075594822719,-29.9548737261525,-4.17082765481359,60.7394483633643,134.510399022914,19,750
-46.8332379648091,-45.9376110384362,-44.7924877088187,-37.2935407584359,-38.2907074159039,-34.4880477759766,-30.9395023746558,-4.33290133825926,46.7191512179911,139.175594498109,20,750
-46.8811296145946,-46.374882092229,-46.5432893300988,-40.2376298913457,-38.985982921201,-32.7496152587144,-32.2628685684856,0.616811160965426,59.0345313671251,110.878757609888,21,750
-46.599310837307,-47.0778960240827,-44.6712884259171,-42.3759049549344,-36.9646937828511,-34.8596037956288,-22.1761933430419,9.84796426346202,59.5370769729059,110.373738045819,22,750
-47.0504243055741,-46.4772279660119,-47.0799739534405,-36.822234380239,-35.8968825248135,-35.7264549735885,-36.1457839668503,2.72007136382422,58.038755962818,134.153696682698,23,750
-45.39475116937,-45.867006926522,-42.2684207981554,-41.9086096587473,-44.0816017949826,-32.4085037634679,-37.1098371395262,-2.48024713280324,59.5462455716981,109.00423911757,24,750
-46.8503308882684,-44.6173081671911,-44.8406627853908,-41.80574486308,-39.0845773566157,-35.3739169201765,-33.2923523248176,-0.789106356007778,53.2601464043623,113.707129032634,25,750
-46.5969630820675,-46.1663955141905,-42.8039954530993,-41.3366537743027,-34.8571975823047,-33.8904107597273,-23.3710693978826,-26.458270401934,57.5003589415658,118.555872473145,26,750
-46.6704841115627,-46.7564554771623,-46.073585841873,-39.1067266170867,-39.221828004871,-32.9980724263917,-26.6130849567562,11.0650561114519,51.9309725736448,104.761735749573,27,750
-46.5381538308723,-46.8887036510273,-37.6969524061331,-45.8465685405195,-40.8684308317731,-32.0936410669681,-15.4473958099209,1.32604447245353,69.712788405167,104.305280879344,28,750
-46.9591878623235,-46.0294171723801,-43.0852135314731,-39.4103255216946,-36.4199605949339,-33.7979146335554,-37.2734502349583,3.70286711356766,57.5898795351957,114.060369954832,29,750
-46.888073739756,-42.3053602144523,-45.4186399118864,-34.8166242091261,-42.7023940493737,-27.3447063477056,-28.8154282677692,-10.8381749486609,54.410748787396,119.667343216114,30,750
-46.9482185922329,-47.250180690794,-46.8525131312697,-36.1238035055974,-40.6704051979007,-26.3482905981546,-30.8075481496917,6.21445386718165,41.9780372681837,100.792690243559,31,750
-46.8372403801504,-46.8261301597108,-45.119957251871,-32.3167935565996,-41.8466198737167,-27.1378635750314,-32.795392472291,-10.3867410275409,50.850928835386,115.985778853489,32,750
-46.8915598108401,-47.3354051944848,-44.9462994442847,-39.3942549652581,-37.4045005547123,-24.422675091105,-29.8020228684391,-21.7084026529985,82.0974936751611,142.160524313083,33,750
-46.2227523890651,-46.625068848635,-45.061927209031,-42.2120037070629,-41.2668772858731,-40.6904047212581,-25.68798495753,21.6845938799459,63.2531945044882,99.4788319844129,34,750
-46.7931731228089,-46.6881946164808,-42.9216130866482,-42.9368170740759,-43.5579363013212,-30.1463708960989,-33.5670821493991,-2.68443526023384,35.6629538579914,134.957051913497,35,750
