"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","sim","n"
-94.8301392175053,-87.0274008947999,-38.6255556783726,122.510576667013,295.703996787663,705.573720232738,1213.25791242908,-102.523720396886,-102.041570976187,-101.993939561642,-100.374187765632,-102.138441606077,-101.807638663824,-102.246717635207,-102.513719081957,-101.85558407694,-101.926810093177,-100.081682053038,-102.369390004351,-102.410146869872,1,5995
-100.950318570975,-87.2711305608846,-34.0090856892657,150.126272499561,330.437955648838,685.229859560483,1142.49386802026,-101.933971205433,-102.462080670399,-102.463742491704,-102.441495626552,-102.340111431695,-102.466872371522,-101.730589105886,-100.820951934573,-102.441329274392,-102.446345205901,-102.399521416801,-102.410917580246,-102.470362925304,2,5995
-101.22272761012,-81.5716794727959,-40.1499026546717,214.496839530331,255.02784880414,689.378296823837,1115.85229405259,-102.179494515483,-102.174649491395,-102.478187253395,-102.198172593726,-102.453944563045,-101.142874571593,-102.124784191998,-102.421348465801,-102.125699167604,-99.9453453677506,-102.49445263573,-102.455630665638,-102.499714192214,3,5995
-98.7892671587451,-92.2488691448143,-51.8217437019066,124.6138696212,300.1153464665,700.670003441892,1160.26530538498,-102.511809674681,-102.463470947429,-102.384208266891,-101.502477684026,-102.560968685542,-102.428900841438,-100.205707516718,-101.777155691147,-102.471661372054,-100.757879444966,-96.2731841874065,-102.495731977533,-101.891384406812,4,5995
-97.4357014531324,-83.6002852691945,-39.0624055594872,133.119217979309,244.60303262311,697.439361405794,1176.28968069094,-101.912952762608,-101.971442125721,-102.283552379004,-102.324512984125,-102.412309467423,-102.448099688276,-102.372045184404,-102.327316853232,-102.399540545894,-102.293619547099,-102.201592655145,-101.079924838539,-100.479050634984,5,5995
-101.416938856941,-92.6334672163266,-45.2454362178196,139.860071061688,244.571066538898,658.311393149297,1224.22590405132,-102.252764302963,-102.482273221256,-102.289733191928,-101.504844272007,-101.29033595631,-102.506893008203,-102.062745443229,-102.33344538512,-101.768643140005,-102.098212403404,-102.440423528669,-101.541216565502,-101.521918627977,6,5995
-96.5365123809843,-83.6547713837626,-30.31402240034,139.000588010835,251.306714603479,691.755521865654,1193.94847475864,-102.143126054965,-102.430541924521,-102.334553029692,-102.538619658499,-102.407942093232,-102.032959727076,-102.409636698954,-100.989860262656,-102.538906466178,-102.494230852146,-102.234279300397,-101.772732458652,-102.339047275573,7,5995
-101.02619773587,-92.0944414162914,-45.9211354763574,156.101304512689,281.375506263814,681.860865944042,1160.8249116084,-102.441147209161,-100.083621077647,-102.566762730554,-102.498132173985,-102.428875861988,-102.437662968485,-102.214909820765,-102.294624208678,-102.073075465332,-101.839687224581,-102.34460569516,-102.348576672141,-102.510820361169,8,5995
-102.020784747388,-87.1066272872631,-34.9019303089954,129.575987845157,240.953428771763,675.226573088727,1206.89426816594,-102.264510343402,-100.600902175511,-102.418933047597,-102.435738611048,-101.417577106216,-101.502211578438,-102.444308107581,-102.248414065336,-99.204512010494,-102.347902370781,-102.411323164979,-102.435949519391,-101.869249278572,9,5995
-98.9322863940033,-85.2385250509178,-27.7019855674607,136.238526625362,228.369214574603,719.542863245857,1168.8806252355,-99.8167867109423,-102.522316215138,-102.410176485271,-102.424776628353,-101.109740549226,-102.502338861772,-102.481410547849,-102.509473634671,-101.879365289327,-102.165069533696,-97.4315572932755,-102.5183939176,-101.813704879261,10,5995
-95.4595345556354,-87.6967578779859,-22.3283270800057,156.447963453562,277.139488131999,682.176575663707,1151.94711429216,-102.488221512433,-102.315472632188,-102.191406065211,-100.246616550894,-102.528835660238,-102.545915184053,-102.532786089605,-101.019965460033,-102.508263122749,-102.196650517306,-102.547944541504,-101.617623320837,-101.891191682247,11,5995
-97.1352252446504,-95.6645403908715,-11.5573466067253,145.251490770261,293.938306896258,761.12926613357,1099.52510821195,-102.343490724557,-102.34641021284,-102.193434631763,-102.349805877626,-102.543657749216,-102.390999059775,-102.457689985878,-99.0321468110742,-101.947958312732,-102.509290720509,-102.559325606275,-102.500638295027,-100.86158003632,12,5995
-102.345128808402,-86.6566765525095,-35.5577210534557,163.457455049556,278.852844518891,717.377369152569,1160.98183969979,-102.577264542722,-102.487280460284,-102.528513926543,-102.512135441051,-101.630074108109,-102.301576240721,-102.598477122971,-101.259503878091,-102.258902783857,-101.983033195917,-102.591381994736,-102.543555605835,-102.424431446152,13,5995
-100.151155636715,-89.4240590806658,-42.6981146217277,138.18706779182,234.34797928903,669.097835233726,1211.38120494841,-102.429695754676,-102.234755752041,-102.377075156155,-102.024685434721,-102.20769548271,-102.241833286384,-98.0525383900185,-102.333184228139,-101.92213976492,-102.399116902576,-101.92580137798,-102.381138831986,-102.020835154995,14,5995
-97.4606050044822,-91.5968881085992,-34.942201931106,164.273383121174,236.789778102546,633.784805727206,1211.59326479837,-101.902851298322,-102.379252817873,-102.314120007692,-101.79118836152,-101.291578859093,-102.018696614825,-99.9225025550204,-102.378486464642,-102.399699097919,-102.36071143267,-102.165920732074,-101.097923198578,-102.402943069294,15,5995
-98.4104111716715,-97.6688869425525,-50.618728188545,196.559031712428,276.528509538999,693.668777402783,1138.68825096938,-102.464173917289,-102.501035214731,-101.663628045995,-101.858518023262,-102.501864747526,-102.479016463531,-102.314920841442,-102.358125059574,-102.333171428747,-102.499758056532,-102.447134589285,-102.019548663227,-102.244446310942,16,5995
-89.483148685993,-91.5365874828931,-50.1170444846703,143.346749296014,205.541135317184,649.749528133323,1187.470861221,-102.100315800439,-101.046887300639,-102.19272582387,-102.504559240497,-102.170099745332,-102.52724890657,-102.472121955752,-102.246239680568,-102.174214225879,-100.742550350802,-101.913580341927,-102.261910895892,-100.902263988075,17,5995
-99.8642098008586,-83.7005463132537,-55.331379979576,138.299183176925,296.785839898537,708.535967066517,1103.87423024511,-101.285972742975,-101.975389161908,-102.409230958379,-102.358799282629,-102.276492901374,-102.452675720779,-102.299823567799,-102.213430075155,-102.404086088354,-101.915836625269,-102.271564849896,-97.8926554590216,-102.25796800854,18,5995
