"(Intercept)","X1","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X2","X20","X3","X4","X5","X6","X7","X8","X9","sim","n"
8.25612896269685e-30,4.95238730531701e-27,7.62102103286208e-30,2.94692154802395e-29,1.13903595625815e-29,1.22549724298349e-29,1.47487528967502e-29,1.24405895187207e-29,6.55657567004164e-30,1.10169871610462e-29,3.28514483070352e-29,1.38958812028764e-28,3.59995742444753e-28,1.26535222710194e-29,3.68679877449481e-25,3.84774210640434e-21,1.99913405776851e-17,3.59741837141418e-14,1.79476332356989e-11,8.74152362440885e-30,9.24927002448884e-30,1,50
2.3450169319032e-32,1.67426248343699e-31,2.21578571864766e-32,1.49704998804329e-32,2.75298584019853e-31,1.76415497069112e-32,1.75919173211949e-32,1.73825656205589e-32,2.39892381385566e-32,4.96828839876966e-32,3.77489494322175e-32,1.38349302116233e-32,3.37404801224574e-30,2.90516608222872e-32,6.13081768275358e-30,1.07226956333259e-20,2.16094029724252e-21,5.31642620873609e-15,8.51464233519603e-10,3.28520433156614e-32,3.73153549414105e-32,2,50
4.07920911088393e-33,9.22838347444822e-33,1.26908882591614e-32,2.73497172415363e-32,4.33192504817549e-33,1.95328647729122e-33,5.67530175419203e-33,1.5063450004631e-33,1.3093799449614e-33,6.99123632913948e-33,2.46135368772517e-33,1.12769816414987e-33,8.19595367680083e-28,1.26370300997638e-33,1.56309453928515e-31,4.66914063614833e-21,9.10029678995846e-20,1.5387041651414e-15,7.88107844181002e-14,1.12114069102403e-33,1.23860445618309e-33,3,50
1.42435948631705e-35,6.07277590787999e-36,8.82857095892674e-37,4.26566970165091e-37,5.07537230794307e-37,3.64038463996701e-35,3.99958496311185e-37,4.49440287470466e-37,6.45336825430553e-37,2.1847706765165e-36,7.16073932141558e-37,5.53747194759144e-37,1.77667828804742e-31,1.75675211845477e-35,8.81548405412837e-27,6.41428372402729e-19,2.95143970448689e-14,4.79140406630298e-15,8.20536913091997e-13,4.15936912175046e-36,4.05461498588697e-37,4,50
8.04206987202046e-36,1.15815857117746e-35,1.01262353432485e-35,9.56351628231434e-36,1.40346454376425e-35,2.01595320810265e-35,5.0058187077194e-35,1.03316120509841e-35,1.58602527819014e-34,2.61888366245191e-34,8.09551237740594e-36,7.86897768545417e-36,2.80800226316417e-34,7.77778016297331e-36,3.24716324765469e-30,2.23489199424432e-19,1.3941736281463e-22,1.30086177633718e-20,6.7500022192636e-12,9.39636114059883e-36,1.11583269887759e-35,5,50
7.71797096087221e-30,1.00429366560691e-29,2.88896300811676e-29,3.22907525367695e-30,9.06834431922389e-29,4.76734290889144e-30,2.90767666874729e-30,3.08561404792044e-30,4.19809706200108e-30,1.06766948832435e-29,3.15315127303502e-30,9.59741833047476e-30,1.34142462544567e-27,1.58336255127401e-29,7.3487319822592e-24,8.00772354017278e-22,4.90034738392405e-18,5.34914695484253e-20,6.1669845075547e-13,1.11656536968562e-29,3.40605187759918e-30,6,50
3.94543889723971e-29,3.19304176499708e-25,2.15248841044053e-31,4.86380820871189e-32,1.58306735348808e-31,2.04508748457942e-31,3.69922631615233e-32,5.37783847426077e-32,8.8451800409439e-31,2.6693437247197e-31,9.67208478880049e-32,4.71205772524181e-32,1.70709372890894e-29,1.6730658668722e-31,9.0845452074791e-32,7.3720772746476e-17,7.5362231657216e-18,1.83326586149699e-16,2.10139917632429e-14,1.59228697896937e-31,1.28928322997722e-31,7,50
1.78438094168755e-30,1.1765981384313e-30,5.33529784339622e-32,4.360109387385e-32,5.09220567061444e-32,5.60924600187765e-31,5.93737227387176e-32,4.30953126071681e-31,6.1291186273538e-31,5.76295227560557e-32,1.90245583513296e-31,4.62130379730244e-32,1.8159393948225e-27,4.46701442143797e-32,6.08866674495417e-28,7.38529306681322e-21,5.81842653421252e-15,2.15268287844653e-17,6.55091740770969e-14,5.44609762245117e-32,4.35674214691479e-32,8,50
3.03739229585349e-35,3.17717566524818e-33,6.89037696041495e-34,3.15428475347666e-35,5.74215947774983e-35,4.44718401559778e-35,1.91351488502717e-34,6.00558228119495e-34,1.58376034231768e-34,2.68326868329102e-34,6.36518265697742e-35,3.87850552434057e-35,1.49837477612558e-29,4.38951093214574e-35,3.4247248559966e-30,1.32655183678663e-21,3.55956373451154e-16,2.51483506323115e-17,4.04167889414793e-14,3.04755761618032e-35,1.00640667456544e-34,9,50
6.78540098200591e-32,1.26627574591619e-31,1.31146746174944e-30,5.17224914549945e-32,7.07064716304339e-32,8.30657061702891e-32,5.29110964089601e-32,6.41905639243653e-31,1.71095353892353e-31,9.81523763450236e-32,6.29117269372949e-32,7.84221157294942e-32,5.24833672905019e-28,8.05086022386072e-32,1.69095760241453e-29,1.03156323107168e-23,7.02752111979244e-20,1.48489951492211e-16,1.38413813195318e-12,8.15973161334578e-32,9.49701321176802e-32,10,50
