"(Intercept)","`1`","`10`","`11`","`12`","`13`","`14`","`15`","`16`","`17`","`18`","`19`","`2`","`20`","`3`","`4`","`5`","`6`","`7`","`8`","`9`","sim","n"
2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,2.73957022248208e-117,1,20
2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2.58657972891649e-120,2,20
3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3.3690420507219e-116,3,20
1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,1.02734375523633e-119,4,20
7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,7.25036085004457e-119,5,20
3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,6.14204871219573e-64,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,3.40538332244292e-122,6,20
2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,2.08708341150503e-115,7,20
2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,2.35997161239133e-118,8,20
2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,2.52437371772837e-119,9,20
3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,3.31042189178365e-119,10,20
1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,1.52866769163123e-119,11,20
7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,7.57456724495985e-117,12,20
4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,4.77643705245766e-115,13,20
1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,1.72217696047785e-116,14,20
9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,9.67738275083544e-118,15,20
1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,1.46229248068007e-116,16,20
