"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","sim","n"
-0.130062747500517,-1.51378536730664,4.91781483770075,13.7961600922226,13.777495046654,25.7095462533226,57.9666844745398,-0.796124010401797,-2.14641374035801,-2.67910714957981,-2.55327976261793,-2.8154487677927,-1.04703397639338,-2.7621509929632,-2.81551656046832,-2.79120623704847,-2.81051020115018,-2.81545557220119,-2.51624485242263,-2.58583477877818,1,278
-2.15974652390429,-2.22018153656785,-0.703781328019375,10.2160967050888,12.9767779388165,30.0980255196631,59.4642120807509,-2.54456328761358,-0.410437514364332,-1.87589383242295,-2.48899147367928,-1.94200720040152,-1.34622279720469,-2.59459128323937,-2.71834935605028,-1.40620326871357,-2.79940763880251,-0.778927392401044,-2.19174782289696,-2.79857629158818,2,278
-2.02391347334782,-1.52167920129858,-1.56491270057251,15.1671827459115,6.99671404418831,26.6218570112016,32.3070663512935,-1.92278948449967,-1.9792941477105,-2.77447775562945,-2.33099437252514,-1.87697730540509,-2.81417137635179,-2.48892785101651,-2.68748653534936,-2.71003247173036,-2.80597243549045,-0.913310308948269,-2.77979677231241,-2.33887588175998,3,278
-2.62031231088514,-2.75131536534712,-2.55465348067395,11.2868679652676,9.87848746779667,36.4224111486873,36.1562809903424,-2.81441167393604,-2.71890282976329,-2.67288043459422,-2.60395321443394,-0.823154612232258,-2.46201244983109,-2.72366211388868,-2.79388647812124,-2.67837836992629,-2.17908259633731,-2.59641812785077,-1.37216790545455,-0.693367769534746,4,278
-1.38534565116032,-2.77054928328863,0.537798393161609,10.6731527603686,11.3200914142114,23.7990703296029,69.3078584163131,-2.63394578798767,-2.64875358761907,-0.498053165131921,-0.522726050450672,-2.44736558458834,-2.74530963889305,-2.02488127435055,-2.78402785621967,-2.81327369470085,-1.62943200430033,-2.7990258369959,-2.80425826393986,-2.7639580197345,5,278
-2.81389000997268,-1.98223701286742,0.442491474678206,2.90720728847128,5.0225502467668,27.7980147587309,33.3394424090622,-2.79453603957046,-2.53438383279155,-1.13544605275791,-1.31580557837157,-2.55739337210633,-2.81087011286542,-2.81093577271639,-2.31296431811671,-2.7922805245733,-1.89832944750054,-2.10979262451639,-2.81510339391383,-2.71896271228917,6,278
-2.71845114858348,-2.08907033547786,0.412575466094779,12.1685797390022,10.761835981303,26.3451776544856,44.5481444691644,-2.74733450526929,-1.14569519188814,-1.88294176902849,-2.50992684354907,-2.17684837319445,-2.76761665663508,-1.88837933592146,-2.6805832317213,-0.991957295585905,-2.2557882801853,-2.33494870357612,-2.72051730229742,-2.10841896032179,7,278
-2.39839460382842,-2.27571942677713,-1.13703817579284,10.0750514376076,8.21419901023222,28.8941472427684,57.5452541043086,-2.60502979588574,-1.95020301414667,-2.03771751498022,-2.44203356199006,-2.50383899628974,-2.70906276997988,-2.05967412739795,-2.77735424714962,-1.27103250702993,-2.4034769021527,-2.50042094815461,-2.00921381427798,-2.66192329848155,8,278
-1.08203835661203,5.16369787919945,-0.78727018635135,5.68898857894504,10.5584512407084,35.2556404977442,50.4721503971505,-2.78929793061474,-2.75925300053683,-2.19661243525064,-2.79445767355804,-2.69629414406023,-2.42442773089505,-1.39359400253892,-2.81007343132597,-2.68406931645228,-2.00177671732905,-2.81430906762392,-2.08206611758266,-2.64637887141413,9,278
-2.72844800230115,-2.70403315891662,-0.233872105920625,3.02729462204167,25.4773275851994,31.658725064217,44.5404721981275,-2.76178853996299,-1.85206286487852,-2.59127287228927,-2.23180071236578,-2.55634080982674,-2.81339121926879,-2.47455733737826,-1.25735072885942,-2.79598464482655,-2.27015192215998,-2.81485110679836,-2.65452942823566,-2.64401608063025,10,278
