"(Intercept)","`1`","`10`","`11`","`12`","`13`","`14`","`15`","`16`","`17`","`18`","`19`","`2`","`20`","`3`","`4`","`5`","`6`","`7`","`8`","`9`","sim","n"
1.61277122220694e-93,1.40536509074868e-80,1.63443985150085e-93,1.02558060736159e-93,1.06944612724158e-93,9.71406774308891e-94,1.47055391291461e-93,1.28446131847325e-93,9.22826402164111e-94,1.14211464038898e-93,9.21552441278148e-94,2.76926940223161e-93,1.68531617880478e-57,3.76871542153843e-93,2.20785290758265e-24,1.45700558172551e+58,3.21603908692008e+109,2.28099820470056e+160,1.65631161920655e+193,1.20641285691277e-93,2.30552366183502e-93,1,400
1.06605186579975e-91,2.33737154821793e-80,6.69865261297969e-92,9.46244822360023e-92,9.09182642934218e-92,6.47063609150496e-92,1.27568098595363e-91,7.6359459819092e-92,1.00986246777974e-91,6.97257072697272e-92,6.78075367971269e-92,1.0755582513684e-91,4.06414623345784e-63,9.56532450839027e-92,5.54416040216923e-37,2.38904534133152e+45,1.72138399603583e+98,2.14976960859308e+147,5.92799065160665e+196,8.14447710973874e-92,6.53142482072112e-92,2,400
8.76825257851869e-91,1.77636491465087e-77,5.40879797029716e-91,4.7527552645146e-91,5.18211851695636e-91,1.02636678715228e-90,4.52872053803815e-91,8.91982960026893e-91,5.27115908699937e-91,8.77418039648135e-91,4.76967122522189e-91,1.29394940207498e-90,1.88449909231501e-56,5.36416100889986e-91,6.36455300125307e-35,1.24599990123073e+34,5.97543096646398e+112,4.18423473909246e+148,2.20914759633391e+186,4.87186385274192e-91,1.19280764056411e-90,3,400
1.61931584832917e-96,5.88255973170291e-74,7.45958720954581e-96,2.61115818256185e-96,1.92671491710106e-96,1.60850440688296e-96,1.64503504105987e-96,2.38552375637428e-96,1.6801010243446e-96,2.49074404594237e-96,1.66489789895854e-96,1.59284797255723e-96,1.45379456349779e-55,2.2063443671886e-96,3.83069495414404e-27,1.23674790916826e+60,1.7942264204615e+124,8.4922221497352e+173,1.15592027122969e+202,1.58722383349057e-96,1.61321153869586e-96,4,400
9.1385757579046e-93,6.55782327742645e-69,1.48809337407158e-94,2.38188305740073e-94,1.41225814263698e-94,1.40181739979799e-94,4.48321683321047e-94,1.60411928960216e-94,1.84683930273628e-94,5.81281266696334e-94,2.18360643837159e-94,1.38625440273879e-94,6.85964307010736e-53,1.45677713313219e-94,3.37773603332351e-25,5.28562534772542e+50,3.13266491025642e+113,2.42897187359834e+165,1.20233385435864e+191,1.6513122448674e-94,1.45820477011824e-94,5,400
3.72704003739728e-90,7.34204969246951e-71,3.19348535843981e-90,6.82523317909995e-90,9.15828310810996e-90,6.57195074361693e-90,4.02706679082505e-90,3.59927029597414e-90,9.65401708637592e-90,1.91047063270597e-89,3.51884028330003e-90,7.99028794753106e-90,3.31447256368074e-58,3.52350120442503e-90,4.83231548581253e-42,1.50842687258203e+43,2.20117732182141e+101,7.22488947993143e+158,8.21984137516269e+193,3.26344938999698e-90,1.27636709229535e-89,6,400
3.42304380059643e-94,8.74097130312798e-77,5.13566933242184e-94,7.51993677211227e-94,4.35949615343477e-94,3.5209372138037e-94,4.43753631346577e-94,2.87510565457926e-94,2.34576444006407e-93,2.81602344726404e-94,1.45537954517728e-93,3.94724116619251e-94,2.93807862540093e-60,3.20616942067187e-94,1.38321987760511e-32,5.77092363467274e+42,4.17061407668411e+112,2.22035934145261e+153,1.21090289086789e+192,2.95255266900345e-94,2.55445941873824e-94,7,400
1.07410205654756e-88,1.76569407866036e-75,9.78306463879276e-89,1.02458616153383e-88,1.00852151015493e-88,1.31406674460295e-88,1.10129433639935e-88,1.07655447799481e-88,9.92632074294189e-89,9.78419329129582e-89,1.38018704920173e-88,1.9408211778273e-88,1.04942054218687e-51,9.88344091481626e-89,2.53809089965444e-43,2.70762242671505e+44,1.4043626590708e+93,3.41154837192691e+144,4.64709853347552e+175,3.42675455596642e-88,1.04996176272418e-88,8,400
3.9033072089029e-86,6.8321754199207e-67,9.82285768700274e-86,4.03214575438236e-86,3.65630904716141e-86,3.60196909327071e-86,4.83781643684449e-86,4.28512076260758e-86,2.66015116874179e-85,4.59158857610952e-86,1.6882661436472e-85,3.58123349872912e-86,8.45042449591928e-59,1.04183605275173e-85,2.04586555675018e-27,1.15700171554786e+51,1.65620181243959e+110,4.37356507117735e+147,5.44715003684674e+171,5.10485533514222e-86,8.54272918735936e-86,9,400
2.44253808782847e-95,8.37339440672092e-67,2.27914895822242e-95,5.877487511395e-96,1.36836512973778e-95,6.50436743220223e-96,1.2911156660585e-95,7.14235605303367e-96,8.20707540167797e-96,1.06086573115881e-95,1.52843537618113e-95,5.82245832340631e-96,6.07423159052901e-53,6.86666797277038e-96,3.89297134306411e-34,1.33096952630754e+44,2.52874827083312e+101,1.49145228001419e+157,3.19205861196339e+200,6.13577021172943e-96,7.03918297751119e-96,10,400
