"(Intercept)","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","sim","n"
7.01541101095864e-41,9.91285936123317e-36,2.20891862936899e-13,12067311844396702,1.7918730252593e+69,1.51694063006573e+111,6.08633895795578e+162,4.62482731119494e+229,5.8566785664228e-41,1.06696560590045e-41,7.01048436385011e-42,9.24343728192607e-42,1.51119584371408e-41,6.70088401836914e-42,2.450793514952e-41,7.31277905278707e-42,6.84903686464506e-42,3.66920374330459e-41,7.09234445013668e-42,2.95212983329364e-41,2.32354188891023e-41,1,1583
6.74934358665638e-42,7.32443712350368e-33,6.103259044947e-15,3.18460880414247e+22,1.01960305832216e+45,3.684797723347e+101,3.68713667403308e+153,1.87940994665504e+225,8.27333375847383e-42,2.30690895524722e-41,1.12606230708408e-41,6.96861573250942e-42,2.83307218928109e-41,8.6302806435128e-42,8.31954074399487e-42,7.23042891691636e-42,8.75638886244964e-42,7.20104703982085e-42,1.32258444152118e-41,7.79606305891508e-42,1.26918736215718e-41,2,1583
1.12520239994048e-41,3.22544097076495e-35,1.42352561759033e-06,2.55454172751552e+28,1.89606693675e+58,2.60652635608202e+109,4.44272796862217e+157,7.55952356577584e+229,9.71643373955959e-42,7.63087513889143e-42,8.76654722234526e-42,8.49037770232715e-42,9.43624784586571e-42,1.06153260820242e-41,9.49200116144169e-42,4.7532453150218e-41,7.55178380614498e-42,1.19956871506538e-41,7.55608402235449e-42,1.60976767271387e-41,7.93932814521756e-42,3,1583
5.81270200908524e-42,4.79859443753973e-32,2.19729164136877e-21,63953148589400301578,5.89796166381202e+64,7.43540548756604e+120,3.1917639148557e+177,3.1682493157348e+227,2.13250038700939e-41,6.61429797575869e-42,6.16027605013277e-42,2.69938761326186e-41,5.80021977575481e-42,1.66641815386419e-41,6.96562135837144e-42,6.41480346799848e-42,6.2782401360972e-42,6.12627929325649e-42,6.60465376202213e-42,5.77286620215571e-42,7.37017982541484e-42,4,1583
3.31525340558437e-42,1.28707596405608e-38,6.90338675317317e-21,1.14608951767135e+36,1.30298453097511e+52,3.52381202463406e+108,2.70276095245184e+179,1.36955466767068e+241,4.06226891825795e-42,3.75625000316517e-42,1.03659455955248e-41,6.80574255247175e-42,7.0253417713158e-42,8.71025555429316e-42,3.93162584475373e-42,5.59581520196609e-42,4.19599968717311e-42,1.04450818576516e-41,3.41984505351472e-42,3.74492784000633e-42,3.98411889061176e-42,5,1583
8.65213557467162e-42,3.36382504694508e-33,9.41326132901907e-20,173997685695477,1.22134054551206e+61,3.27363430350434e+94,1.14049595260404e+166,5.84189115566117e+213,1.06890728472536e-41,1.17743794161786e-41,7.6300449173184e-42,8.95677545550423e-42,6.53689788175373e-42,6.01442593995756e-42,6.56835828076917e-42,9.57123437204637e-42,7.44491563984233e-42,6.47535370825029e-42,1.17183442907527e-41,1.03790624684842e-41,1.76464775884046e-41,6,1583
1.31715512373463e-41,1.68458416807003e-34,3.41545779785273e-21,93248267438212825098,1.77906780058919e+52,1.52780978784738e+84,8.7588785851767e+150,2.82508431514189e+228,7.09272467439699e-42,5.61176565905311e-42,1.93631224587599e-41,6.39878230989783e-42,8.50763147751659e-42,1.78543985799867e-41,2.51160618019858e-41,1.31806364988674e-41,6.25596132528181e-42,6.52934769735072e-41,8.96783238336789e-42,9.10302275554135e-42,5.51349006833806e-42,7,1583
6.16557869047488e-42,2.42222018309555e-36,7.46456892128136e-17,14151754185655048,2.71542064155313e+48,4.90792672715961e+96,1.24379496811037e+168,2.65484859004085e+235,4.89569847608635e-42,4.86673465714965e-42,6.64835423352216e-42,1.18920742734247e-41,7.59656675761487e-42,4.91428998101809e-42,6.84067097199116e-42,5.4726848691572e-42,5.13276760237773e-42,5.6002553452196e-42,1.3338489499776e-40,1.12097076225383e-41,5.95913715084422e-42,8,1583
3.9356884271488e-42,1.54852217983732e-32,9.31385396628677e-19,2.05372616629853e+27,2.88672534803207e+49,3.38716325016065e+105,9.68307080759381e+149,6.95157608333216e+227,8.65737377280628e-42,5.16985751645509e-42,6.94841574882859e-42,4.90830790326647e-42,4.22981739729965e-42,4.52697288825124e-42,5.16984901673256e-42,4.53320354903485e-42,6.37191129458217e-42,7.4264089076475e-42,5.46353464506935e-42,3.80005711222197e-42,4.37474241340576e-42,9,1583
4.16149856511531e-42,1.83106213203944e-33,2.56809462299804e-05,4.75113317429989e+23,1.00875194550483e+61,4.26035610549413e+114,1.44795728376956e+178,8.97776062171857e+245,9.98124800389604e-42,4.11546625207411e-42,1.261656481992e-41,4.23125374609767e-42,4.15367141638333e-42,4.06048554732108e-42,5.14592329500036e-42,2.71539997797229e-41,1.95361740440977e-41,4.5713858238403e-42,8.79569536705664e-42,6.73660501242693e-42,8.5352077053507e-42,10,1583
7.49686293967771e-42,7.37418794105369e-35,3.30694603459668e-18,2392469466140202,3.03263432345133e+59,4.05265794731257e+107,2.17186091183485e+142,2.62690432152165e+229,1.06569101851976e-41,7.20320303048503e-42,1.00703674762923e-41,7.44344625916573e-42,1.38490931788086e-41,8.58158258051337e-42,2.61958816388649e-41,8.46916099718127e-42,7.11380440370702e-42,8.56297808104955e-42,1.4384336571904e-41,1.36957380624187e-41,1.18785289749898e-41,11,1583
1.3479941799769e-41,2.26720276832413e-35,2.56936539309031e-16,2045239498652205568,3.90950244458932e+59,7.07541065538548e+95,8.50368429056029e+166,3.75967885204633e+226,1.53582545475958e-41,9.77014065395205e-42,8.27641084991788e-42,8.34950352005598e-42,1.53222207813511e-41,2.46176687475108e-41,1.23668958278339e-41,2.16989644825931e-41,8.01469497986725e-42,7.98227736503762e-42,1.4509874769876e-41,1.85460976476274e-41,9.80895911828533e-42,12,1583
9.2169703408243e-42,3.23143090958389e-37,2.07844644868308e-09,7380357698.38875,1.03867261147206e+68,3.42423220370764e+105,4.15289659910394e+172,3.02679903642951e+219,1.38891850049401e-41,9.35624270043953e-42,9.23639396836329e-42,8.99227888875833e-42,1.4629919229792e-41,9.00723087424753e-42,9.77733329224037e-42,9.27381208416575e-42,2.10737749629746e-41,4.98168744224237e-41,9.26393640023708e-42,9.00553213518462e-42,8.99210912572077e-42,13,1583
1.74714274070738e-41,8.27538976074246e-36,6.70258571544428e-20,2110.57999105864,9.07960372919656e+45,5.60043712246517e+102,2.80861273727775e+157,9.09471454742885e+208,1.43418741424921e-41,2.28774821487987e-41,9.969699206486e-42,9.5201121584991e-42,3.54494318983168e-41,1.05235376822447e-41,2.70213884391523e-41,1.32957704827362e-41,2.1814704937421e-41,3.44274474295058e-41,1.18715964296714e-41,1.07170261508041e-41,1.68137648757117e-41,14,1583
5.22355473144093e-42,3.76032191087613e-35,3.21362411669243e-13,1.30445564498746e+26,2.09555965824309e+62,4.86900374033327e+96,1.87217195663882e+158,1.86587647443833e+201,6.68437342718112e-42,1.01095802145604e-41,1.22589617301747e-41,5.38822854661791e-42,4.27461266902339e-42,5.50891725742939e-42,6.84004910193022e-42,5.05873477524712e-42,4.23854771192234e-42,6.81979789130798e-42,1.14204600827517e-41,4.96795526903334e-42,4.53408520483464e-42,15,1583
1.13028164364543e-41,3.84252513790146e-35,1.49633402573235e-14,1051965480973181824,1.70086021247776e+53,5.60059103043051e+100,3.83466316122332e+164,1.77288890586414e+229,5.60538273397011e-42,8.97629419006751e-42,1.30438909923095e-41,5.68617870194779e-42,7.29032545067819e-42,6.358472761912e-42,5.63140714932545e-42,5.7037066758935e-42,5.88419485610781e-42,5.73418877738022e-42,6.1685878610074e-42,6.0617724359173e-42,7.35104934706327e-42,16,1583
4.96099137639729e-42,5.10459696594367e-35,2.23618993222695e-16,2.0383270927701e+23,1.55471900293615e+36,1.21871346859542e+103,3.05174732145783e+168,1.58696000484676e+232,1.40850447295092e-41,8.32968474873099e-42,6.3580342605026e-42,1.42113537867853e-41,6.15472807318423e-42,5.06845114384666e-42,4.61062209809048e-42,3.09380784260312e-41,4.17265952621508e-42,4.12825736702598e-42,4.53339710020754e-42,9.3641996799464e-42,6.70316169735202e-42,17,1583
1.33762453828067e-41,3.94114192985898e-30,7.85954057893763e-23,4.37670390422848e+20,1.19668948167703e+48,8.60383065592503e+106,5.82783340311442e+179,4.41689318826431e+222,7.92753403952326e-42,8.8098791117367e-42,9.25551394373415e-42,7.75555924460526e-42,2.8444021572025e-41,1.99966101561712e-41,4.32025794891975e-41,8.18746851458474e-42,1.3201517555342e-41,7.91131356366119e-42,3.21799141488532e-41,7.82012353628628e-42,1.22004384016078e-41,18,1583
7.16878570814948e-42,2.97225917725071e-33,7.32100595835106e-11,283476307364681760,6.27222598123998e+43,5.91841686438964e+104,5.1653926536571e+189,1.27500827128974e+231,6.83247905605734e-42,1.46879658777858e-41,3.25288815232003e-41,7.62291011798892e-42,6.30803243787422e-42,1.47582877787236e-41,6.15607548164366e-42,8.81724688557364e-42,7.10448241904933e-42,5.42849500802937e-41,7.86469589719562e-42,1.18556730223793e-41,8.69052864249443e-42,19,1583
7.16888005736421e-42,1.40529625190165e-29,2.12217805705043e-16,207089278923245408,9.00969126316326e+50,1.40254514150942e+99,9.53979992290195e+172,1.40248285345995e+218,8.82347611162246e-42,9.17048028285119e-42,7.46666356718671e-42,1.00263906334542e-41,7.31889958761096e-42,2.20758086384132e-41,7.6989974518074e-42,9.66730933533145e-42,1.45635452477068e-41,9.80460359913396e-42,2.22657045815514e-41,1.33506994396717e-41,7.79424180907768e-42,20,1583
7.59528754331391e-42,3.47096680198146e-38,8.70144768902266e-17,182115530009.312,2.30256859360029e+62,1.06844554901473e+86,2.79099480078637e+157,2.19096867323236e+214,7.1658120354313e-42,9.52390814328581e-42,3.04034249988253e-41,8.66648859583564e-42,1.02965242062303e-41,6.96234009654244e-42,2.64417419942551e-41,2.98184034330675e-41,8.80973112381566e-42,9.16818699829842e-41,7.48007494081844e-42,4.96225067785864e-41,1.73381012339605e-41,21,1583
5.33383188318205e-42,1.59831490701343e-37,7.17004367227609e-13,1.57558439427617e+23,7.71485263671757e+54,3.15185825491199e+97,4.22978512542314e+168,8.24576641989225e+223,7.65757442227098e-42,5.43991580627341e-42,5.08523405845731e-42,5.25924742522614e-42,1.48590865968873e-41,1.20858114023456e-41,6.84112534240699e-42,1.82966604033374e-40,8.17980102071122e-42,5.09653178381791e-42,5.16130789319964e-42,5.87489231982519e-42,5.17485346045534e-42,22,1583
