"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","sim","n"
0.628205931169248,-1.80078564614496,4.40311410417155,-0.628669342940043,5.3138905963616,31.5413003264846,37.7569537218073,-2.44454675901545,-2.38888511847301,-2.5584978134159,-1.91872267768889,-1.77988717612232,-2.55444868631173,-0.89185552790093,-2.55596836230666,-2.19630501450138,-2.15700886756173,-2.53782724120032,-1.11601361678061,-2.37951072174707,1,167
-2.22115482446497,-2.43930027147309,-0.968261277872955,0.946857116312515,4.00341195033735,14.0433713141318,23.11299003721,-2.37820966243288,-2.52220394849667,-2.38257362390203,-2.53367623731077,-2.48996936961998,-2.27714143722977,-2.55532577800898,-2.26313050241237,-1.77627528086947,-1.78250449596453,-2.48901083793925,-2.32175064040587,-1.65217058795201,2,167
-1.68364736340197,-2.51812857831106,0.235307870838028,0.0390814615949466,8.54325917817755,18.3995302959716,50.4879384550277,-2.5335420148806,-1.80225559470114,-1.90549014427461,-1.68942674952751,-1.23288749231341,-2.01633564023763,-1.58800606913798,-2.09167231999567,-1.95677886079181,-1.87001686597205,-1.74292098852084,-2.20979444708632,-0.026761040575991,3,167
-2.24980839133445,-1.87579124486405,-0.379195521099575,4.51575433648742,-0.941136810118621,19.3713173101339,22.3822638020683,-2.52940573472159,-1.98990585646987,-2.36628589422901,-1.65498509218065,-2.52892846995661,-2.54722196437984,-2.56193845040229,-2.55647887346584,-2.38104659709614,-1.42417532732298,-2.56118100495104,-2.52051367091423,-2.52133601342194,4,167
-2.45857014413826,-2.12320394703818,3.80976175787919,6.30367831536142,12.7024360962459,20.5091768797307,38.9072517765837,-2.03956149265628,-2.06149143590926,-1.8090988678988,-1.74345779358657,-1.80557397545323,-2.27220488498011,-2.52495613031886,-1.6846140291143,-2.30812757962093,-2.40361661674859,-1.77451474007825,-2.54393752708751,-1.98046784466669,5,167
-2.54857136071871,1.60714670221762,-0.270179885726975,10.5058221490447,13.9494059358558,17.9592020701234,34.3031081026477,-2.42461657782383,-2.45255766471627,-2.38798828172679,-2.25137834917319,-2.2381300669831,-2.24538560880541,-2.56024026910495,-2.19046269371472,-1.91490437966996,-1.78536512452888,-2.43234171915395,-2.54295344875851,-2.40498251742565,6,167
-0.260604312612998,-2.45075117978979,-1.41011444118527,4.71159206531865,5.72567143449686,13.6230325056468,27.8266386979544,-1.69067916380362,-2.03713426613558,-2.00046338026198,-2.55340157425178,-1.95563283829807,-2.53206152317483,-1.48015232198532,-2.18464617543339,-2.2822947679557,-2.53927402989547,-1.13258231791644,-2.44308745391504,-1.96241842756939,7,167
-1.63099778028624,-2.52480855247177,-1.77153911535686,10.2082418860685,11.8529752430356,17.8521493309339,20.4709683393704,-2.52398918840333,-2.40265996187077,-2.36631513349181,-2.53208680392294,-2.56083635203726,-2.42627761183149,-2.30042692779517,-1.24552152391658,-2.54727391163215,-2.53106400145094,-2.19186698039834,-0.431670120952333,-2.55444921289035,8,167
-2.45379152988323,-2.54930047266095,-1.94019568333522,6.17717413749722,3.07511877288164,23.8872516104267,38.0440992787385,-0.896946482038459,-0.687997962428312,-1.34583871710174,-2.08464673523696,-2.47177029230625,-2.35026363384128,-2.4585665988717,-2.48993060780714,-2.2954766544517,-2.27647999404275,-0.761014053784322,-2.2488567133463,-2.11252510648342,9,167
1.52086508205588,-2.24514781257039,-2.43461853587036,-0.298583443037217,13.7442585767907,31.9004598943063,45.5176381976788,-2.45734617768454,-2.30168516616811,-2.04399042631741,-2.46158949285285,-2.38593831902574,-2.55838110666389,-0.978775065314551,-2.55682818374942,-0.429423773652957,-2.34148310309172,-2.53365578718888,-2.51798884278338,-2.56183261227409,10,167
-2.55279334309978,-1.45964492292967,0.159842436092333,2.301117220967,2.35223649888189,9.474547474117,31.0887087169154,-2.55527768229217,-2.55451430287371,-1.25691040243913,-2.56118600377363,-1.9688975448197,-1.49846279726631,-2.29350634447547,-2.40913104744334,-1.62409081629289,-0.356649944497065,-2.56198196477055,-1.26212656996887,-2.47851761056728,11,167
0.357955258364314,-2.52434650073877,-2.49017936617378,8.33114699995491,4.46570612538602,15.6064097803464,19.7575013526661,-2.56164443303442,-2.39643025634581,-2.42188889946647,-2.55200811360271,-2.56142677206071,-2.36225898542943,-2.07023169618083,-2.54483927410269,-2.36341744002891,-2.42362277260992,-2.55287101608695,-2.49104228669523,-2.4447123441721,12,167
-2.49774749966866,-1.86308494231508,-2.13658724957224,-0.217186909429188,6.02867918764053,21.612797873465,28.2774969531066,-2.55628429206376,-2.12739785908843,-2.52927853382977,-2.53070248743876,-1.98247889571849,-2.48655209181175,-2.54951102371029,-0.341100355697279,-1.26056055954058,-2.30594578629729,-2.51233033148299,-2.54932382374636,-2.24600867183034,13,167
-1.89475510507174,-0.281054057238748,-1.03715377312875,6.39129026888139,4.66851406902879,20.4377466408674,55.6791735020611,-1.97170375567919,-2.3814022440078,-2.38978429431899,-2.28265992421996,-1.52864683326857,-1.88469910777491,-2.47941993064023,-2.46246895249561,0.677752248625779,-2.32644044641341,-2.19963307320961,-1.65786101727866,-2.49007135316015,14,167
-0.218585500681797,-2.14100140369169,-1.28913530205881,7.65150735140691,1.04145665124418,25.855852339645,28.2650071848836,-2.20738356679215,-2.21038387709234,-2.43089332496402,-1.2538286810385,-1.45958646051287,-2.5327224961548,-2.3659371378202,-2.22158160161968,-1.8559187485526,-2.53571076875483,-2.55711561299489,-2.5409027592184,-1.86140626478425,15,167
-2.55983522243832,-2.51691787776912,-0.452013483588019,-1.13965381360327,4.77307930643741,25.0127644079589,21.0863357419355,-2.39001474627196,-1.60834304185124,-2.01609517887402,-2.35515404635453,-2.28072271169759,-2.55898372886509,-2.26266806152273,-1.43760729004379,-2.31013148574203,-2.08016764520738,-2.04850539521431,-2.52399832132306,-2.48490549683891,16,167
-2.02606534744297,-1.0214475360408,1.62178187834417,10.9431183842589,3.26836306311822,5.00398287407103,27.779062317943,-2.54508677034624,-1.80924136792578,-2.52771478961091,-1.65639528541982,-2.53957421663728,-2.46881813061304,-2.56197893745554,-2.5560032133049,-2.55334960178436,-2.01919529357428,-1.51916007567735,-2.42802114797996,-2.56012933632536,17,167
-2.20842858243753,-1.76873802830738,1.16677928874856,8.66598282319381,3.91231381786758,17.2564533526929,38.4542007228721,-1.04659690390315,-1.96714245378342,-2.52489793817057,-2.05538395070943,-2.52884313141959,-2.50460384629577,-2.23256038903321,-2.32137617874929,-2.55401420286046,-2.49716913524469,-2.27536415512895,-2.43105880347474,-1.93287289054609,18,167
-2.56065464926007,-2.39005756677568,-0.0554276991505276,16.0659044153467,7.97195944791389,18.1050358816366,33.3518744639244,-2.38837873450046,-2.54679851152866,-1.75018215216357,-2.27375151681372,-2.46962855094637,-2.55097114797388,-1.1330722284124,-1.83802385493061,-2.56170985359444,-2.3329349132224,-2.51078782201483,-2.05291186011289,-2.51572843856468,19,167
-2.18935459143484,-2.19195572166234,-2.27115798380044,2.9741569999299,9.13254547448616,21.4752961552184,26.551843264943,-2.15649296557677,-2.55004495514106,-2.55239609669252,-2.37333564190902,-2.53645175133238,-2.28803005375596,-2.53662803281475,-1.93364378606833,-2.5298358726418,-0.984388094563144,-2.51160497155558,-2.52176992687322,-2.00324215745241,20,167
-2.53410205118684,-2.32782614435399,-0.387786885291519,3.42858010601685,5.16500122526151,18.5209833774539,36.6416168755918,-2.09791069554706,-1.71539720061986,-2.14001364666245,-2.22799217959675,-1.67332154646869,-2.08564445399753,-1.93504804507904,-2.45736049537521,-2.56000769672875,-2.0699448548873,-2.52276237117638,-2.36177306288215,-2.52928996841285,21,167
-2.43373973460245,-2.50067745310332,0.486101117093426,1.54148658003504,9.35239042394448,21.9266738061332,31.8210619094473,-2.56022439210807,-0.491084040574833,-2.43253822279615,1.54990543404449,0.947345193352305,-2.45381670975974,-2.55609821927476,-2.41257628345829,-2.49163481982777,-1.68976135967455,-2.55758451410173,-0.775356615280486,-2.46622908800794,22,167
-1.96491231127857,-2.49550717250816,-2.55825343697597,3.68338950313949,3.61349963009644,25.5190436300876,36.4931884723269,-2.50095367453622,-2.2996254719709,0.0251281321738475,-1.87574876411441,-2.52302570317528,-2.55552276831907,-2.28154763850142,-2.16307749972503,-2.53177380080325,-2.30250866612948,-1.41584401116103,2.80074465452162,-2.06507919297343,23,167
-1.9707152550651,-2.47419354370868,2.175721450411,10.3270952946887,4.17131072916959,15.7007856978626,29.9107697230713,-2.54210009275556,-2.56175638996848,-2.53644424573434,-2.23965849936371,-2.54306300585711,-0.0641067153927111,-2.34434115336603,-2.55158853389133,-2.15411839472057,-2.08036079084224,-0.994018167718195,-1.32402207371268,-2.20167303440377,24,167
