"","0.5 %","99.5 %"
"(Intercept)",7.14360311546513e-125,9.70739664131021e-110
"TV",0.392760205878761,1.23612377137912
"Electronic_games",1.1762028806535,2.90289369278198
"Social_media",0.273822288981257,0.928899917168207
"Other_internet",0.593907842790366,1.95922929474927
"Own_computer",0.723791133878869,1.38349784334291
"Male",0.733813597664631,1.27832723557192
"Age",0.645730117130216,1.05483510528352
"BMI",1.02752021625646,1.08244225063776
"Motivation",0.358227765855149,0.598687813229295
"Ethnicity",0.636728390141073,1.26864561396978
"Closeness",0.472951163479855,0.677511592813675
"Father",3.04474053517738e+94,6.82176489103806e+97
"Score",0.915668408176027,0.975304517533732
"Employed",0.571423226664213,1.02809600776358
"Illness",2.21406379903292,3.7359622483054
"Time",0.776307140770789,1.01531163068058
"Distress",1.09778347945124,1.15714168379422
"Siblings",0.862928729100948,1.10299143571319
"Income",0.998272841402027,1.00013819898231
