"","x"
"(Intercept)",3.18100539704309e-09
"TV",0.638797972634297
"Electronic_games",1.57036206991542
"Social_media",0.954955837001531
"Other_internet",0.740358607368483
"Own_computer",0.81371045969656
"Male",1.11154744146706
"Age",0.828507317422603
"BMI",1.03582183064207
"Motivation",0.680597572750346
"Ethnicity",1.1441813877109
"Closeness",0.475069081477685
"Father",24175394701.3784
"Score",0.953834950821889
"Employed",0.940690124019559
"Illness",1.4823310902962
"Time",0.919867027839683
"Distress",1.0828263984329
"Siblings",1.08452733372345
"Income",0.999019953098073
