"","0 %","100 %"
"(Intercept)",-267.604038313526,-270.239140822497
"TV",-1.13427491358251,0.823638914340434
"Electronic_games",-0.0536211961799129,1.5308799893314
"Social_media",-1.46567304566049,0.658678844193653
"Other_internet",-0.766096483415325,1.26573673072412
"Own_computer",-0.722041567973098,0.310694371753886
"Male",-0.109594194563575,0.864702334523817
"Age",-0.472774348174185,0.377211053486198
"BMI",-0.0576918638114752,0.0414363161468635
"Motivation",-0.849073413365728,0.05115945913437
"Ethnicity",-0.69655005634096,0.557935577103202
"Closeness",-0.931951590431638,-0.315042524512417
"Father",142.051743182274,181.463479333784
"Score",-0.050301104841454,0.0570352392819227
"Employed",-0.523119338748833,0.536983768237508
"Illness",-0.127971312442432,0.85512870036553
"Time",-0.271366706318493,0.197270533144408
"Distress",0.00364304052811,0.100055762964985
"Siblings",-0.0334204219642235,0.371892151112545
"Income",-0.00176313735696069,0.00140892610975281
