"","x"
"(Intercept)",3.18100543957681e-09
"TV",0.849734062223403
"Electronic_games",2.08361044878366
"Social_media",0.665015152488878
"Other_internet",1.2783883806365
"Own_computer",0.798712154044267
"Male",1.45281490256769
"Age",0.94556730727393
"BMI",0.993433193227169
"Motivation",0.668536425430596
"Ethnicity",0.910333030608603
"Closeness",0.536247611034799
"Father",832866430.50214
"Score",1.00337578736255
"Employed",0.995799744799948
"Illness",1.46154700799987
"Time",0.962955359186194
"Distress",1.05419703141893
"Siblings",1.18834573694878
"Income",0.999838445006071
