"","2.5 %","97.5 %"
"(Intercept)",1.3789695398371e-119,1.03959596125957e-101
"TV",0.536730016870806,1.26417302753739
"Electronic_games",0.919408909070023,1.814444365348
"Social_media",0.50438787188425,1.24855620650811
"Other_internet",0.505939299917734,1.24040331308959
"Own_computer",0.697875970388922,1.11160313799695
"Male",2.1411068571548,3.31179349132989
"Age",0.689113246660475,0.995100797610455
"BMI",0.989451771313007,1.03149377856468
"Motivation",0.418374103345514,0.615496853677345
"Ethnicity",0.994514573734707,1.75550920091555
"Closeness",0.548372407132758,0.719377310084883
"Father",7.16031344250116e+80,3.18510947818747e+84
"Score",0.942316553656057,0.987675717406657
"Employed",0.709308196035469,1.11687986935388
"Illness",1.75776801581862,2.63753160452792
"Time",0.791334792820531,0.969848346564884
"Distress",1.06416361935565,1.10824616112529
"Siblings",0.88059333656469,1.06123076888683
"Income",0.998294673208646,0.999689896282455
