"","2.5 %","97.5 %"
"(Intercept)",1.33291736786638e-119,1.04220497375468e-101
"TV",0.713436521635748,1.50079214161423
"Electronic_games",0.82493406672303,1.47149852679229
"Social_media",0.543107741254139,1.19502480605865
"Other_internet",1.11439223155254,2.42785017704389
"Own_computer",0.941040890977146,1.44891293292751
"Male",0.428543189653146,0.613344694320362
"Age",0.883902763221967,1.21653671499656
"BMI",0.998042409635937,1.03365576049108
"Motivation",0.466160454188766,0.650957050510077
"Ethnicity",0.863037826850651,1.36404264436478
"Closeness",0.780797028828637,0.986493603674255
"Father",1.87770950682377e+107,1.00400319733098e+122
"Score",0.934817995091894,0.972893926152072
"Employed",0.71151866875867,1.04541852569716
"Illness",2.18902132553493,3.09854752303583
"Time",0.89932664757269,1.06826385922367
"Distress",1.09764364289448,1.13717518139764
"Siblings",0.895394729386096,1.05053318189962
"Income",0.99891537528703,1.00008689028648
