"","0.5 %","99.5 %"
"(Intercept)",7.62677143940962e-125,1.0635303260563e-109
"TV",0.337966679968914,1.16984244381455
"Electronic_games",0.66743344307395,1.72830729346912
"Social_media",1.17360836227564,4.68807431062303
"Other_internet",2.09352142197387,8.49787408835593
"Own_computer",0.566714746277599,1.14565542523074
"Male",0.165469932952597,0.320797288985137
"Age",0.725319300744039,1.24828256471368
"BMI",1.03057653818387,1.09364260045747
"Motivation",0.114926705337346,0.204220035273205
"Ethnicity",0.626210233853475,1.44722652575777
"Closeness",0.397631550312553,0.5843206759747
"Father",5.50294728946613e+97,1.74603115861806e+64
"Score",0.973092508803365,1.04261765153898
"Employed",0.662603913481989,1.33075801552435
"Illness",1.2210216015026,2.29915455524674
"Time",0.821000273016029,1.10725404704269
"Distress",0.955426888269213,1.02186275750543
"Siblings",0.779070163294573,1.03278031841665
"Income",0.998897773830776,1.00086635787629
