"","0 %","100 %"
"(Intercept)",-267.576787156931,-270.247867194314
"TV",-1.20889338206847,0.316054762799191
"Electronic_games",-0.144263230131546,1.04923191807905
"Social_media",-0.844131098633887,0.755626631263902
"Other_internet",-1.11034665706706,0.507013870479311
"Own_computer",-0.60449870388375,0.210087641759423
"Male",-0.258641589678022,0.471081334481836
"Age",-0.509142185159988,0.139119402558742
"BMI",-0.000889741505966699,0.0706217955494226
"Motivation",-0.727386488500667,-0.0400035025968946
"Ethnicity",-0.327335732016254,0.6184798920772
"Closeness",-0.986439961296422,-0.505243822989148
"Father",260.312200036728,247.501582754627
"Score",-0.0889423728981626,-0.00589117824804251
"Employed",-0.457420181243751,0.344531809390511
"Illness",-0.00102053286063879,0.773779103569625
"Time",-0.262342776468356,0.095725890000894
"Distress",0.0429537324997497,0.116046759918776
"Siblings",-0.0791324948583409,0.239083336462683
"Income",-0.00222841914555896,0.000247492187279913
