"","x"
"(Intercept)",3.18100544172933e-09
"TV",0.822891064692163
"Electronic_games",1.29099528151486
"Social_media",0.793192824237548
"Other_internet",0.792212463569351
"Own_computer",0.877731445222201
"Male",2.65913677282301
"Age",0.827157703875266
"BMI",1.01045812340124
"Motivation",0.507371332406692
"Ethnicity",1.31457573216895
"Closeness",0.628110575517046
"Father",19956276978.572
"Score",0.96476354958448
"Employed",0.888641400485352
"Illness",2.15669323210781
"Time",0.876028527750463
"Distress",1.08603942715018
"Siblings",0.967452867452415
"Income",0.998995218384539
