"","0 %","100 %"
"(Intercept)",-267.604038965969,-270.239141481544
"TV",-0.428963657928193,0.891567599497363
"Electronic_games",-0.201101951553532,0.834389842238299
"Social_media",-1.2043146295259,0.19458713551768
"Other_internet",0.0900189626597033,1.44058092809466
"Own_computer",-0.348168141866583,0.394003166706393
"Male",-0.33202604080934,0.296306580189408
"Age",-0.403882136345238,0.15250101438252
"BMI",0.0173326709773372,0.0789005635727494
"Motivation",-0.518350430586045,0.086328849318535
"Ethnicity",-0.524997695643393,0.264409147878042
"Closeness",-0.452020864094711,-0.0315703907394258
"Father",308.616578843008,191.70874138741
"Score",-0.0794033737628258,-0.00886332343602536
"Employed",-0.551002263614228,0.133400303649204
"Illness",0.269136719849568,0.927480598838762
"Time",-0.18894491043985,0.118792980735931
"Distress",0.0480091541864564,0.113021135990661
"Siblings",-0.263690344985136,0.0240958891623363
"Income",-0.00204812343504,3.00890906676489e-05
