"","0.5 %","99.5 %"
"(Intercept)",-285.835107217701,-250.981031601477
"TV",-0.75622929811615,0.369853706846797
"Electronic_games",-0.1905810099716,0.703010191864444
"Social_media",-0.826588234226639,0.364861518844362
"Other_internet",-0.822376225032653,0.356436859485451
"Own_computer",-0.43050083755032,0.181626293191556
"Male",0.693747852900743,1.26710837961258
"Age",-0.429324190876144,0.0537063853616929
"BMI",-0.0172983112511138,0.0374091844522268
"Motivation",-0.931973406723415,-0.4245017648174
"Ethnicity",-0.0913102877530233,0.656020846387779
"Closeness",-0.643516901186407,-0.286720487131212
"Father",207.255734126495,157.531415088732
"Score",-0.0668314008763361,-0.00503466879056339
"Employed",-0.413707922727833,0.183105598429853
"Illness",0.499007867263355,1.03250521389951
"Time",-0.265995731784234,0.00139211754181329
"Distress",0.0557634115722991,0.109126639463432
"Siblings",-0.157051574445488,0.0881991822370259
"Income",-0.00192866024052358,-9.28926550405506e-05
