"","var","down","up"
"1","TV",0.341927403817566,1.83688602257794
"2","Electronic_games",NA,2.92866998760769
"3","Social_media",1.19817190746705,7.68285708566876
"4","Other_internet",1.10008041878179,7.28229199200187
"5","Own_computer",0.531146302084188,1.37835562445188
