"","0.1 %","99.9 %"
"(Intercept)",-286.647311279527,-262.042993388193
"TV",-0.925039622504612,0.608623117956902
"Electronic_games",0.116285395707958,1.35747892522579
"Social_media",-1.23721329342387,0.426794691253933
"Other_internet",-0.54753284303569,1.04392458757988
"Own_computer",-0.617075312730349,0.190950412889167
"Male",-0.00554685708128782,0.757518739646147
"Age",-0.383726195103366,0.28183787716443
"BMI",-0.0463473833138725,0.0312755087407953
"Motivation",-0.752980124037826,-0.0477801873060923
"Ethnicity",-0.569507075747206,0.411788612948817
"Closeness",-0.864968229791898,-0.381761231911351
"Father",235.699311755496,157.927529106003
"Score",-0.0386724595306617,0.0454087718410879
"Employed",-0.412435030185854,0.417689039093426
"Illness",-0.0149527919941639,0.754429482938528
"Time",-0.220862293087363,0.146225435677347
"Distress",0.0144660481370356,0.0899495393867344
"Siblings",0.0118434921004702,0.32914914911835
"Income",-0.00141365267524559,0.00107139970869943
