"","0.1 %","99.9 %"
"(Intercept)",-286.655148352243,-262.067725091878
"TV",-0.859897887468782,0.474925093192235
"Electronic_games",-0.273083334276143,0.786157748523591
"Social_media",-0.936690804746942,0.475629542999363
"Other_internet",-0.931664923682075,0.465689352466659
"Own_computer",-0.484940749671097,0.240911647561694
"Male",0.641568580371383,1.32124753800231
"Age",-0.473329698532999,0.0992880667697538
"BMI",-0.0225144934150734,0.0423449404295389
"Motivation",-0.978906805782785,-0.377350975922279
"Ethnicity",-0.157202604858861,0.729095804143268
"Closeness",-0.676622445205384,-0.253680085538079
"Father",240.556780431583,161.21859362428
"Score",-0.0725829704563515,0.000667854347012928
"Employed",-0.467930876235029,0.239556643632793
"Illness",0.448371338028475,1.08086191277511
"Time",-0.290755742103918,0.0261962124046452
"Distress",0.0507750321563636,0.11404048653666
"Siblings",-0.180310383355396,0.110387132855771
"Income",-0.00210097992996488,7.5004132419956e-05
