"","0.5 %","99.5 %"
"(Intercept)",-285.813291464205,-250.950601351907
"TV",-0.806430661242132,0.487363677951858
"Electronic_games",0.212543275729534,1.25962401057728
"Social_media",-1.10786548415484,0.295878495102762
"Other_internet",-0.423803026376334,0.918706982816388
"Own_computer",-0.557078258302162,0.124197743086193
"Male",0.0534329074487078,0.697109095314011
"Age",-0.333073851048909,0.228293530571977
"BMI",-0.0399994531582775,0.0254718669078433
"Motivation",-0.698493218998837,-0.103574681505859
"Ethnicity",-0.496861481721457,0.33041724992384
"Closeness",-0.827116355398896,-0.419493881126144
"Father",204.934578739739,153.133524777627
"Score",-0.032097316328082,0.038834693310398
"Employed",-0.349429081903113,0.350747092463631
"Illness",0.0481704833058955,0.696938643621442
"Time",-0.192278650354247,0.117394991646364
"Distress",0.0205409400644773,0.0842030767663227
"Siblings",0.0372803723379583,0.30488479551753
"Income",-0.00121664050639105,0.00087986873329696
