"","2.5 %","97.5 %"
"(Intercept)",-273.720264812161,-232.519763157037
"TV",-0.797970113673296,0.074265571877739
"Electronic_games",0.269925576044369,0.957200209878126
"Social_media",-1.14910399494386,-0.219838861002293
"Other_internet",-0.378406843087562,0.529605624117432
"Own_computer",-0.248461652944273,0.244230598809001
"Male",-0.243114950542694,0.179138957351349
"Age",-0.379400170852655,-0.00608037238811772
"BMI",0.0334364744398574,0.0730433500485855
"Motivation",-0.965152038527761,-0.574458396481542
"Ethnicity",-0.371037412716586,0.153277462840884
"Closeness",-0.705595880623167,-0.432158273699961
"Father",211.486950252497,237.402824927617
"Score",-0.0805131875147496,-0.0325125146639387
"Employed",-0.490212630128836,-0.0434068636294559
"Illness",0.858160785998608,1.2561270959113
"Time",-0.221114525392831,-0.0169262002552144
"Distress",0.0995758098217184,0.139632500600876
"Siblings",-0.117621564510718,0.0691091139902316
"Income",-0.00150310688747008,-8.28641876409781e-05
