"","0.5 %","99.5 %"
"(Intercept)",7.46216181710552e-125,1.03166477559776e-109
"TV",0.446448752520786,1.6280185761908
"Electronic_games",1.23681963667923,3.52409621533524
"Social_media",0.330263161195304,1.34430680704791
"Other_internet",0.654552798848493,2.5060479310727
"Own_computer",0.572880429649443,1.13223974144481
"Male",1.05488621438585,2.00793954702695
"Age",0.71671726187961,1.25645407899394
"BMI",0.960789964552219,1.02579904696537
"Motivation",0.497334113096763,0.901608686733088
"Ethnicity",0.60843725765584,1.39154863090832
"Closeness",0.437308512199223,0.657379447779117
"Father",1.00451562812862e+89,3.19922515051122e+66
"Score",0.968412335160863,1.03959861683932
"Employed",0.705090523769305,1.42012811938709
"Illness",1.04934953665395,2.00759731950004
"Time",0.825076928478336,1.12456353517799
"Distress",1.02075335709602,1.08784978839606
"Siblings",1.03798400204613,1.35646872272711
"Income",0.998784099300613,1.00088025593134
