"","x"
"(Intercept)",3.18100543083887e-09
"TV",0.791516964542213
"Electronic_games",1.53003902197103
"Social_media",3.02374479991487
"Other_internet",2.81032222293327
"Own_computer",0.842710943961089
"Male",0.283579174570147
"Age",1.0458224442241
"BMI",1.03751746131041
"Motivation",0.17456699597096
"Ethnicity",0.681711890092737
"Closeness",0.451909304571543
"Father",33512255418.7955
"Score",1.01099060314748
"Employed",0.962954908230046
"Illness",1.63345099642707
"Time",0.968006182025802
"Distress",1.02184224918357
"Siblings",0.885650200559132
"Income",1.00052632602416
