"","0 %","100 %"
"(Intercept)",-267.549476461377,-270.256575763855
"TV",-1.22704016570649,0.507902766909129
"Electronic_games",-0.0682106906855808,1.29887833933417
"Social_media",-1.6089026261066,0.239606066340692
"Other_internet",-0.82685808764671,0.97935838111805
"Own_computer",-0.481465754395489,0.499971101022952
"Male",-0.451902683669262,0.388043033529383
"Age",-0.561105769774572,0.181679392991616
"BMI",0.013595388436123,0.0924313216866662
"Motivation",-1.15838986183294,-0.381195169741213
"Ethnicity",-0.622092364316866,0.42178904191662
"Closeness",-0.841525681838187,-0.29759952910349
"Father",292.030631090359,192.784731241556
"Score",-0.104413771477114,-0.00893977154884693
"Employed",-0.707771534967014,0.181058614313639
"Illness",0.658226738686435,1.4501604237081
"Time",-0.322037528599616,0.0841154044302075
"Distress",0.0798240103622014,0.159536733782827
"Siblings",-0.211738548583666,0.159659885857752
"Income",-0.0022144455588898,0.000610280581489796
