"","0 %","100 %"
"(Intercept)",-267.549467874774,-270.25656708559
"TV",-0.702846098460322,0.776096517035231
"Electronic_games",-0.478805141699879,0.672122502361438
"Social_media",-0.9994430723924,0.568964290355456
"Other_internet",-0.275213728646377,1.27349503411062
"Own_computer",-0.265483455318052,0.593880879097864
"Male",-1.02640291964592,-0.31336157766325
"Age",-0.278693138160458,0.356679262794473
"BMI",-0.0195855825792724,0.0501737265597733
"Motivation",-0.928348276048262,-0.264213203770729
"Ethnicity",-0.366869829667346,0.544130958840639
"Closeness",-0.362585408591405,0.102480822093742
"Father",284.094146132986,290.992145302878
"Score",-0.0872353391673193,-0.00784114711476033
"Employed",-0.527577664457502,0.237709464987926
"Illness",0.609399633922537,1.30065296674099
"Time",-0.19096952061143,0.151372311507487
"Distress",0.0757565824434046,0.14614857153863
"Siblings",-0.190787494417307,0.127049423041048
"Income",-0.00166992376523826,0.000660945077430104
