"","2.5 %","97.5 %"
"(Intercept)",1.42660744658785e-119,1.03702771875016e-101
"TV",0.902328191379791,1.75287432551066
"Electronic_games",1.05755347000739,1.78010773189677
"Social_media",0.424706555697929,0.85819586843256
"Other_internet",1.52771931729887,3.01287760278813
"Own_computer",0.844479900635814,1.22617493434957
"Male",0.838801574812967,1.15049998627345
"Age",0.765663824954359,1.01284225376441
"BMI",1.03323672410049,1.06571344392229
"Motivation",0.691651726938227,0.937425461638073
"Ethnicity",0.717128731044055,1.06642936493787
"Closeness",0.706428712029895,0.872747086819987
"Father",1.82542693581487e+93,2.60409164396378e+106
"Score",0.940078700279906,0.974025145841841
"Employed",0.681866621460831,0.961965254163754
"Illness",1.54522111885998,2.15141227141466
"Time",0.893517497397567,1.04306772020338
"Distress",1.06622900017006,1.10164921678772
"Siblings",0.826130010379299,0.954750203561791
"Income",0.998474359931719,0.99951840332813
