"","x"
"(Intercept)",3.18100604451793e-09
"TV",1.03389074071374
"Electronic_games",1.10186189290015
"Social_media",0.805374858762844
"Other_internet",1.64403563959702
"Own_computer",1.16406545524994
"Male",0.51299457138271
"Age",1.03602195177795
"BMI",1.01578872508077
"Motivation",0.550864775470175
"Ethnicity",1.0824099352252
"Closeness",0.877500275444994
"Father",426611685.120436
"Score",0.953697108670066
"Employed",0.861571214019408
"Illness",2.60628906339694
"Time",0.980082931921913
"Distress",1.11719794971121
"Siblings",0.970291185866731
"Income",0.999502771263676
