"","x"
"(Intercept)",3.1810053418454e-09
"TV",1.25676261868165
"Electronic_games",1.37191126763748
"Social_media",0.603768338731572
"Other_internet",2.14399076030316
"Own_computer",1.01569846916048
"Male",0.982387696119121
"Age",0.880195417418232
"BMI",1.04936847652762
"Motivation",0.805041091377095
"Ethnicity",0.873384682220449
"Closeness",0.785189533040784
"Father",2151649854.30614
"Score",0.956926844595584
"Employed",0.809333603512098
"Illness",1.82473878192874
"Time",0.965356608027078
"Distress",1.08377700838112
"Siblings",0.888462345800712
"Income",0.998997861080141
