"","x"
"(Intercept)",-19.5660685134832
"TV",-0.194931450744936
"Electronic_games",0.25541345695067
"Social_media",-0.231688928976574
"Other_internet",-0.232925661061036
"Own_computer",-0.130414603180439
"Male",0.978001548630003
"Age",-0.189759908214079
"BMI",0.0104038155394223
"Motivation",-0.678512132414479
"Ethnicity",0.273513976437296
"Closeness",-0.465039052349353
"Father",23.7168095663123
"Score",-0.0358722340043347
"Employed",-0.118061498877647
"Illness",0.768576137593166
"Time",-0.132356622650818
"Distress",0.0825375257792362
"Siblings",-0.0330885710763107
"Income",-0.00100528674690118
