"","2.5 %","97.5 %"
"(Intercept)",-273.652326855628,-232.524735733759
"TV",-0.102776976559987,0.561256912274282
"Electronic_games",0.0559581933147944,0.576673886010029
"Social_media",-0.856356805714401,-0.152922920660771
"Other_internet",0.423775981003495,1.10289563628557
"Own_computer",-0.169034343330345,0.203899514406616
"Male",-0.175781102496708,0.140196618562336
"Age",-0.267012076390293,0.0127604912891157
"BMI",0.0326963256462928,0.0636444752747903
"Motivation",-0.368672734826106,-0.064618031884522
"Ethnicity",-0.332499913293012,0.0643160260166203
"Closeness",-0.347532984949461,-0.136109470934402
"Father",214.742227545554,245.03110377463
"Score",-0.0617916835206931,-0.0263181585867777
"Employed",-0.382921209970451,-0.0387769473016095
"Illness",0.435167019112383,0.766124496920044
"Time",-0.112589361588874,0.0421661021979244
"Distress",0.0641281245958562,0.096808344983066
"Siblings",-0.191003120293224,-0.0463055396670122
"Income",-0.00152680504212773,-0.000481712676793809
