"","0.1 %","99.9 %"
"(Intercept)",-286.647311979702,-262.042994026696
"TV",-0.287042030551975,0.747514293018447
"Electronic_games",-0.0891546390217793,0.722102823177748
"Social_media",-1.05272139873201,0.0432264402618362
"Other_internet",0.235248615733035,1.2933198706909
"Own_computer",-0.270538205501761,0.310696956403312
"Male",-0.263962607163217,0.228312869579623
"Age",-0.344377230309124,0.0915100150654998
"BMI",0.0240317717627308,0.0722572522768641
"Motivation",-0.453198973556958,0.0205221956045357
"Ethnicity",-0.441429662888927,0.176912216539792
"Closeness",-0.406506891666341,-0.0771105934806587
"Father",225.569523765848,222.911776488436
"Score",-0.0717255853169287,-0.01645994753537
"Employed",-0.477950278664431,0.0582300543644017
"Illness",0.341669147277073,0.857367365965542
"Time",-0.155696572936408,0.0854042439042293
"Distress",0.0550290109774794,0.105952883292495
"Siblings",-0.231933070162393,-0.00648319199263607
"Income",-0.00182065735060023,-0.000192458453276774
