"","x"
"(Intercept)",3.18100544080387e-09
"TV",0.69584340844382
"Electronic_games",1.84589018461337
"Social_media",0.504387132208223
"Other_internet",1.07829196308437
"Own_computer",0.994058563544384
"Male",0.968499751241973
"Age",0.823851004656979
"BMI",1.05476361785002
"Motivation",0.46309962004691
"Ethnicity",0.894193326975871
"Closeness",0.566292220023719
"Father",36557614233.7134
"Score",0.945106870515528
"Employed",0.764922041917786
"Illness",2.881014088958
"Time",0.887771822535864
"Distress",1.12702130167449
"Siblings",0.976632819565827
"Income",0.999210419354679
