"","0.1 %","99.9 %"
"(Intercept)",-286.662965369102,-262.092459168015
"TV",-1.04028405885139,0.318788002896221
"Electronic_games",0.0789711645150748,1.14986467619176
"Social_media",-1.4085475016217,0.0394336887194234
"Other_internet",-0.63151591891246,0.783343358413723
"Own_computer",-0.380748318988625,0.387492465002424
"Male",-0.360936798666258,0.297016211669285
"Age",-0.482166101907119,0.0996072830454311
"BMI",0.022263426734161,0.0839976923102232
"Motivation",-1.07419048968728,-0.4654037481027
"Ethnicity",-0.513337527628279,0.304003541531925
"Closeness",-0.782242944007184,-0.35617237300887
"Father",215.215750357655,203.126004054173
"Score",-0.0939874772539997,-0.0191964595482563
"Employed",-0.613256479335934,0.082972045253493
"Illness",0.745609048796602,1.36583215950056
"Time",-0.278070801430178,0.0400873726488989
"Distress",0.0884269007232623,0.150855131978542
"Siblings",-0.17059340676627,0.120351557099516
"Income",-0.00190381078856866,0.000309047495613679
