"","2.5 %","97.5 %"
"(Intercept)",-273.686289849933,-232.522262501852
"TV",-0.831104266687337,-0.0643418301923276
"Electronic_games",0.151552334577499,0.751657216408852
"Social_media",-0.447796407603532,0.356547994230417
"Other_internet",-0.707471442727885,0.105700782463961
"Own_computer",-0.408498628145542,0.00071940942301974
"Male",-0.0775866972111529,0.289328810926603
"Age",-0.350283435348029,-0.0243987836588775
"BMI",0.0171454366262619,0.053078018722458
"Motivation",-0.557311327658583,-0.211701299281429
"Ethnicity",-0.100142723665557,0.375025032045725
"Closeness",-0.865650954856547,-0.623722382440757
"Father",230.806985442935,270.758496662658
"Score",-0.0681837440132603,-0.0264225549657488
"Employed",-0.261545164607336,0.141641736298482
"Illness",0.197125332279796,0.586446671095452
"Time",-0.173493036794339,0.00655123803662137
"Distress",0.0611882989193664,0.0979234789561673
"Siblings",0.000889530807338221,0.160797847223454
"Income",-0.00160557765236373,-0.000360519225855915
