"","0.5 %","99.5 %"
"(Intercept)",9.08245325618593e-125,1.35605962535137e-109
"TV",0.452414341646174,1.38828859077171
"Electronic_games",0.997060523939713,2.35031271808372
"Social_media",1.63361766968823,5.63496814459005
"Other_internet",1.49987727053214,5.28802931768159
"Own_computer",0.617103961659912,1.16287014510778
"Male",0.212509795373804,0.376280494731211
"Age",0.819372801732198,1.34035041360136
"BMI",1.00939858027475,1.0660995025352
"Motivation",0.134235470354822,0.225874912046911
"Ethnicity",0.477009571511488,0.985163896068381
"Closeness",0.379034748679676,0.537711461343825
"Father",1.0403947176744e+84,3.26957659356184e+76
"Score",0.980438118146359,1.04256699430863
"Employed",0.705436618207946,1.32276039619932
"Illness",1.22303683194747,2.16855452000084
"Time",0.846854620060957,1.10675113619502
"Distress",0.992165345299776,1.05190025641306
"Siblings",0.779053452173866,1.0041008988531
"Income",0.999654346157593,1.00139487684966
