"","0 %","100 %"
"(Intercept)",-267.576786870032,-270.247866904475
"TV",-1.04294154395123,0.661034088707813
"Electronic_games",-0.41885505337707,0.933343093894179
"Social_media",-1.13127205391991,0.671671359081978
"Other_internet",-1.12496636387834,0.658909939304555
"Own_computer",-0.580348988383008,0.346915138871998
"Male",0.549685331313097,1.41742290716587
"Age",-0.550848499262617,0.180259004913405
"BMI",-0.0318027551170662,0.0510217790795024
"Motivation",-1.06187451094459,-0.293913150470622
"Ethnicity",-0.272485039226088,0.860092585190208
"Closeness",-0.735188539435201,-0.195258646712626
"Father",147.80502253714,184.80674918739
"Score",-0.0827642336207332,0.0107415600022946
"Employed",-0.563377120013372,0.339879125247365
"Illness",0.35828349678616,1.16595526961805
"Time",-0.334533449401995,0.0700702955872329
"Distress",0.0419307805674801,0.122721639049619
"Siblings",-0.221647252035019,0.14939717049478
"Income",-0.00240659269031825,0.000370947496538624
