"var","softevalue","logsoftevalue","mixtevalue","logmixtevalue","BF","logBF","anov.pvalue","yvar","hyp"
"TV",0.000249584032228609,-8.29571489695846,1.21349248220878e-39,-89.6073160757333,0.283345010865396,-1.26109000419615,0.103644506321095,"High total difficulties (parent)","TVXHigh total difficulties (parent)"
"Electronic_games",0.0284466409003388,-3.5597251956675,1.50095034510019e-37,-84.789549969888,57.5373499573002,4.0524343014024,0.000456838418021633,"High total difficulties (parent)","Electronic_gamesXHigh total difficulties (parent)"
"Social_media",0.00358610757805646,-5.63068790479115,2.08121643550887e-38,-86.76528098624,2.08239940049741,0.733520786807958,0.003893949050508,"High total difficulties (parent)","Social_mediaXHigh total difficulties (parent)"
"Other_internet",3.26690118312415e-05,-10.3290835797864,3.4034801827902e-40,-90.8786052284702,0.0775751082481976,-2.55650867324812,0.744779720389032,"High total difficulties (parent)","Other_internetXHigh total difficulties (parent)"
"Own_computer",5.46557848102055e-05,-9.81445549697283,3.23147381149395e-40,-90.9304653982069,0.110804713139583,-2.19998596821279,0.962170007258329,"High total difficulties (parent)","Own_computerXHigh total difficulties (parent)"
