"","x"
"(Intercept)",-19.5660685169068
"TV",-0.233803966483039
"Electronic_games",0.425293239635337
"Social_media",1.10649606319357
"Other_internet",1.03329914685456
"Own_computer",-0.171131269506278
"Male",-1.26026391942473
"Age",0.0448036038383171
"BMI",0.036830803159803
"Motivation",-1.74544667995666
"Ethnicity",-0.383148158939573
"Closeness",-0.794273772886315
"Father",24.2351770422736
"Score",0.010930645383345
"Employed",-0.0377486925481663
"Illness",0.49069495248263
"Time",-0.0325168053356617
"Distress",0.0216071248612656
"Siblings",-0.121433213829391
"Income",0.000526187563202535
