"","0.1 %","99.9 %"
"(Intercept)",-286.655148660133,-262.067725372716
"TV",-1.04441980408858,0.150233870312409
"Electronic_games",-0.0154668245812665,0.919525369524598
"Social_media",-0.671578418742835,0.581654726923168
"Other_internet",-0.93476428313632,0.332240577009505
"Own_computer",-0.519596349261417,0.118268642320613
"Male",-0.179796451321718,0.391874570616326
"Age",-0.440115718328402,0.067681297596838
"BMI",0.0069914609401404,0.0629946222685609
"Motivation",-0.653357423915892,-0.114869234493964
"Ethnicity",-0.228956430686401,0.511688671156942
"Closeness",-0.933721153927583,-0.556767353959521
"Father",257.270049942351,275.366197608198
"Score",-0.0798902046447929,-0.0148257602411646
"Employed",-0.372368231291504,0.255851951224464
"Illness",0.085786337611242,0.692567662706467
"Time",-0.223650295461551,0.0568653481707428
"Distress",0.0509051462083744,0.108153070873429
"Siblings",-0.0441872926354466,0.205029727484521
"Income",-0.00195651059272278,-1.67524897170506e-05
