"","0 %","100 %"
"(Intercept)",-267.846667648136,-270.159840332681
"TV",-1.07921146170924,0.617360855389797
"Electronic_games",-0.222282756892256,1.0751938410071
"Social_media",0.177421200113043,2.05110647219021
"Other_internet",0.0847113766363846,1.9915579570893
"Own_computer",-0.639002028320889,0.320633115323057
"Male",-1.69905875589036,-0.834410236799227
"Age",-0.322922253234464,0.421925157829488
"BMI",-0.00487549597317376,0.0778500729086927
"Motivation",-2.14496911782395,-1.35744613723633
"Ethnicity",-0.919715585546196,0.178924829302839
"Closeness",-1.06116361806699,-0.531985479039989
"Father",187.499558477223,186.966321426102
"Score",-0.035476063826696,0.0574947023990109
"Employed",-0.50635200709741,0.445214668307763
"Illness",0.0503178204608456,0.917359264336077
"Time",-0.234750715965114,0.170256724807018
"Distress",-0.0231865683673604,0.0653021086207636
"Siblings",-0.31651650764804,0.0674806473717785
"Income",-0.000794726829738893,0.00183758004441957
